source_file,theta_cmd_deg,direction_sign,esc_us,t_s,position_m,velocity_mps,acceleration_mps2,theta_rad,thrust_N,rail_force_N,friction_residual_N,velocity_sign,dynamic_fit_N,spatial_residual_N
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.499999999999989,-0.0100446841864886,-0.0338705388357921,0.0171290388601218,-0.637959997382173,1.96199753424543,-1.16848317525786,-1.17625290728482,-1,-1.20473813467855,0.0284852273937317
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.519999999999989,-0.01078530606199,-0.0336340591916864,0.0140718875675023,-0.637959998846648,1.9630147379121,-1.1690889812696,-1.17547198947022,-1,-1.20418155517184,0.0287095657016154
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.539999999999988,-0.0114487798254601,-0.033307663333092,0.0356292999911936,-0.63795999949186,1.96380213343455,-1.16955792192984,-1.18571937240585,-1,-1.20341334847626,0.0176939760704153
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.559999999999988,-0.0120659647217113,-0.0322088871920387,0.0688533412448108,-0.637959999776125,1.96441163940576,-1.16992091848936,-1.20115279407801,-1,-1.20082726422835,-0.000325529849656281
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.579999999999988,-0.0127448681075877,-0.0305535296832997,0.0889271361294399,-0.637959999901366,1.96488344489404,-1.17020190618433,-1.21053925513264,-1,-1.19693120768137,-0.0136080474512679
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.599999999999987,-0.0133311937590263,-0.0286518017468612,0.0936926954973477,-0.637959999956544,1.96524865939445,-1.17041941266127,-1.21291841933887,-1,-1.19245529263691,-0.0204631267019568
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.619999999999987,-0.0138712305432461,-0.0268058218634058,0.0889496151830639,-0.637959999980854,1.96553136409929,-1.17058777972691,-1.21093532517395,-1,-1.18811058644955,-0.0228247387244047
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.639999999999986,-0.0144266969498722,-0.0250938171395387,0.0776426512110959,-0.637959999991564,1.9657501997426,-1.17071810904536,-1.20593681563471,-1,-1.18408120477359,-0.0218556108611261
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.659999999999986,-0.0148741559996544,-0.0237001158149621,0.0487570673065586,-0.637959999996283,1.96591959571642,-1.1708189941674,-1.19293519989766,-1,-1.1808009833462,-0.0121342165514522
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.679999999999986,-0.0153216150494365,-0.0231435344472764,0.0202311482599827,-0.637959999998362,1.9660507215034,-1.17089708717223,-1.18007393602295,-1,-1.17949101104714,-0.000582924975814914
2026_05_29_friction_sweep_log_set01_02.csv,37.34772,1,1550,0.699999999999985,-0.0157999333440312,-0.0228908698845628,0.011374401132841,-0.637959999999278,1.96615222316027,-1.17095753728977,-1.17611696564363,-1,-1.17889633864643,0.00277937300280273
