t_ms,t_s,phase,count,p_m,p_ref_m,v_mps,theta_hat_rad,T_hat_N,theta_cmd_rad,T_cmd_N,servo_us,esc_us
8,0.008,control,-3653,-0.00005,-0.10000,-0.00032,0.00000,2.57400,-1.04720,2.57400,2000,1700
25,0.025,control,-3656,-0.00000,-0.10000,-0.00010,-0.85836,2.57400,-0.96988,2.57400,1960,1700
45,0.045,control,-3659,0.00005,-0.10000,0.00029,-0.94977,2.57400,-0.74363,2.57400,1817,1700
65,0.065,control,-3727,0.00110,-0.10000,0.00776,-0.78080,2.57400,-1.04720,2.57400,2000,1700
85,0.085,control,-3790,0.00207,-0.10000,0.01712,-0.99916,2.57400,-0.83137,2.57400,1872,1700
125,0.125,control,-3780,0.00191,-0.10000,0.01853,-0.86163,2.57400,-1.04720,2.57400,2000,1700
144,0.144,control,-3707,0.00079,-0.10000,0.01074,-1.01373,2.57400,-0.69772,2.57400,1788,1700
164,0.164,control,-3596,-0.00093,-0.10000,-0.01093,-0.75471,2.57400,-1.04720,2.57400,2000,1700
184,0.184,control,-3439,-0.00335,-0.10000,-0.04119,-0.99445,2.57400,-0.15630,2.57400,1448,1700
204,0.204,control,-3182,-0.00731,-0.10000,-0.07694,-0.30744,2.57400,-1.04720,2.57400,2000,1700
225,0.225,control,-2936,-0.01111,-0.10000,-0.10636,-0.91380,2.57400,0.46113,2.57400,1059,1700
244,0.244,control,-2627,-0.01588,-0.10000,-0.13657,0.21320,2.57400,-1.04720,2.57400,2000,1700
264,0.264,control,-2322,-0.02058,-0.10000,-0.16161,-0.81991,2.57400,1.01106,2.57400,1000,1700
284,0.284,control,-1933,-0.02659,-0.10000,-0.18339,0.68089,2.57400,-1.04720,2.57400,2000,1700
305,0.305,control,-1549,-0.03251,-0.10000,-0.20482,-0.73558,2.57400,1.04720,2.57400,1000,1700
325,0.325,control,-1181,-0.03819,-0.10000,-0.21763,0.72571,2.57400,-1.04720,2.57400,2000,1700
345,0.345,control,-837,-0.04350,-0.10000,-0.22568,-0.72749,2.57400,1.04720,2.57400,1000,1700
365,0.365,control,-497,-0.04874,-0.10000,-0.22280,0.72717,2.57400,-1.04720,2.57400,2000,1700
386,0.386,control,-144,-0.05419,-0.10000,-0.21859,-0.72723,2.57400,1.04720,2.57400,1000,1700
406,0.406,control,237,-0.06007,-0.10000,-0.21873,0.72722,2.57400,-1.04720,2.57400,2000,1700
426,0.426,control,602,-0.06570,-0.10000,-0.22104,-0.72722,2.57400,1.04720,2.57400,1000,1700
446,0.446,control,1027,-0.07226,-0.10000,-0.23092,0.72722,2.57400,-0.66415,2.57400,1767,1700
466,0.466,control,1385,-0.07778,-0.10000,-0.23442,-0.41324,2.57400,1.04720,2.57400,1000,1700
486,0.486,control,1792,-0.08406,-0.10000,-0.23828,0.78384,2.57400,-0.37128,2.57400,1583,1700
506,0.506,control,2186,-0.09014,-0.10000,-0.24257,-0.16298,2.57400,1.04720,2.57400,1000,1700
