t_ms,t_s,phase,count,p_m,p_ref_m,v_mps,theta_hat_rad,T_hat_N,theta_cmd_rad,T_cmd_N,servo_us,esc_us
7,0.007,control,-2312,0.00003,-0.10000,0.00022,0.00000,2.57400,-1.04720,2.57400,2000,1700
25,0.025,control,-2309,-0.00002,-0.10000,-0.00004,-0.85836,2.57400,-0.96987,2.57400,1960,1700
45,0.045,control,-2315,0.00008,-0.10000,0.00053,-0.94976,2.57400,-0.74667,2.57400,1819,1700
65,0.065,control,-2380,0.00108,-0.10000,0.00772,-0.78329,2.57400,-1.04720,2.57400,2000,1700
85,0.085,control,-2428,0.00182,-0.10000,0.01484,-0.99961,2.57400,-0.80228,2.57400,1854,1700
135,0.135,control,-2390,0.00123,-0.10000,0.01320,-0.83786,2.57400,-1.04720,2.57400,2000,1700
154,0.154,control,-2333,0.00035,-0.10000,0.00590,-1.00945,2.57400,-0.65211,2.57400,1760,1700
174,0.174,control,-2256,-0.00083,-0.10000,-0.01162,-0.71654,2.57400,-1.04720,2.57400,2000,1700
194,0.194,control,-2142,-0.00259,-0.10000,-0.03438,-0.98757,2.57400,-0.25783,2.57400,1512,1700
214,0.214,control,-2024,-0.00441,-0.10000,-0.04984,-0.38943,2.57400,-1.04720,2.57400,2000,1700
236,0.236,control,-1914,-0.00611,-0.10000,-0.06021,-0.92858,2.57400,-0.06755,2.57400,1392,1700
255,0.255,control,-1740,-0.00879,-0.10000,-0.07379,-0.22282,2.57400,-1.04720,2.57400,2000,1700
275,0.275,control,-1564,-0.01151,-0.10000,-0.08457,-0.89854,2.57400,0.24201,2.57400,1197,1700
295,0.295,control,-1422,-0.01370,-0.10000,-0.09039,0.03634,2.57400,-1.04720,2.57400,2000,1700
315,0.315,control,-1295,-0.01566,-0.10000,-0.09397,-0.85181,2.57400,0.33759,2.57400,1137,1700
335,0.335,control,-1204,-0.01707,-0.10000,-0.08608,0.12311,2.57400,-1.04720,2.57400,2000,1700
355,0.355,control,-1107,-0.01856,-0.10000,-0.07518,-0.83616,2.57400,0.22262,2.57400,1209,1700
375,0.375,control,-1031,-0.01973,-0.10000,-0.06479,0.03169,2.57400,-1.04720,2.57400,2000,1700
395,0.395,control,-966,-0.02074,-0.10000,-0.05497,-0.85264,2.57400,0.15350,2.57400,1253,1700
416,0.416,control,-859,-0.02239,-0.10000,-0.05375,-0.02794,2.57400,-1.04720,2.57400,2000,1700
436,0.436,control,-787,-0.02350,-0.10000,-0.05069,-0.86340,2.57400,0.22951,2.57400,1205,1700
456,0.456,control,-683,-0.02510,-0.10000,-0.05279,0.03243,2.57400,-1.04720,2.57400,2000,1700
476,0.476,control,-570,-0.02685,-0.10000,-0.05861,-0.85251,2.57400,0.37737,2.57400,1112,1700
496,0.496,control,-463,-0.02850,-0.10000,-0.06035,0.15558,2.57400,-1.04720,2.57400,2000,1700
516,0.516,control,-365,-0.03001,-0.10000,-0.06369,-0.83030,2.57400,0.46556,2.57400,1057,1700
536,0.536,control,-261,-0.03162,-0.10000,-0.06468,0.23188,2.57400,-1.04720,2.57400,2000,1700
557,0.557,control,-144,-0.03342,-0.10000,-0.06542,-0.81654,2.57400,0.55324,2.57400,1002,1700
577,0.577,control,-38,-0.03506,-0.10000,-0.06553,0.30623,2.57400,-1.04720,2.57400,2000,1700
598,0.598,control,82,-0.03691,-0.10000,-0.06794,-0.80314,2.57400,0.65123,2.57400,1000,1700
618,0.618,control,166,-0.03820,-0.10000,-0.06650,0.38896,2.57400,-1.04720,2.57400,2000,1700
638,0.638,control,154,-0.03802,-0.10000,-0.05214,-0.78822,2.57400,0.50835,2.57400,1030,1700
658,0.658,control,203,-0.03877,-0.10000,-0.04167,0.27454,2.57400,-1.04720,2.57400,2000,1700
679,0.679,control,256,-0.03959,-0.10000,-0.03129,-0.80885,2.57400,0.42525,2.57400,1082,1700
698,0.698,control,335,-0.04081,-0.10000,-0.02764,0.20271,2.57400,-1.04720,2.57400,2000,1700
718,0.718,control,397,-0.04177,-0.10000,-0.03454,-0.82180,2.57400,0.55511,2.57400,1000,1700
738,0.738,control,496,-0.04330,-0.10000,-0.04201,0.30681,2.57400,-1.04720,2.57400,2000,1700
758,0.758,control,557,-0.04424,-0.10000,-0.04511,-0.80303,2.57400,0.67891,2.57400,1000,1700
778,0.778,control,642,-0.04555,-0.10000,-0.04669,0.41167,2.57400,-1.04720,2.57400,2000,1700
799,0.799,control,691,-0.04630,-0.10000,-0.04576,-0.78412,2.57400,0.70179,2.57400,1000,1700
820,0.820,control,786,-0.04777,-0.10000,-0.04505,0.43384,2.57400,-1.04720,2.57400,2000,1700
841,0.841,control,811,-0.04816,-0.10000,-0.04095,-0.78012,2.57400,0.70720,2.57400,1000,1700
861,0.861,control,876,-0.04916,-0.10000,-0.03756,0.43899,2.57400,-1.04720,2.57400,2000,1700
881,0.881,control,854,-0.04882,-0.10000,-0.02887,-0.77920,2.57400,0.61866,2.57400,1000,1700
902,0.902,control,893,-0.04942,-0.10000,-0.02022,0.36659,2.57400,-1.04720,2.57400,2000,1700
947,0.947,control,895,-0.04945,-0.10000,-0.01514,-0.79225,2.57400,0.54982,2.57400,1004,1700
966,0.966,control,838,-0.04857,-0.10000,-0.00044,0.30781,2.57400,-1.04720,2.57400,2000,1700
986,0.986,control,731,-0.04692,-0.10000,0.01315,-0.80285,2.57400,0.24638,2.57400,1195,1700
1006,1.006,control,746,-0.04715,-0.10000,0.01982,0.05717,2.57400,-1.04720,2.57400,2000,1700
1026,1.026,control,738,-0.04703,-0.10000,0.02290,-0.84805,2.57400,0.27766,2.57400,1175,1700
1047,1.047,control,836,-0.04854,-0.10000,0.00709,0.07466,2.57400,-1.04720,2.57400,2000,1700
1067,1.067,control,863,-0.04896,-0.10000,-0.01213,-0.84489,2.57400,0.64079,2.57400,1000,1700
1087,1.087,control,971,-0.05062,-0.10000,-0.02794,0.37288,2.57400,-1.04720,2.57400,2000,1700
1107,1.107,control,969,-0.05059,-0.10000,-0.03333,-0.79112,2.57400,0.74408,2.57400,1000,1700
1127,1.127,control,1067,-0.05211,-0.10000,-0.03495,0.46724,2.57400,-1.04720,2.57400,2000,1700
1148,1.148,control,1068,-0.05212,-0.10000,-0.03263,-0.77410,2.57400,0.74278,2.57400,1000,1700
1170,1.170,control,1162,-0.05357,-0.10000,-0.03042,0.46924,2.57400,-1.04720,2.57400,2000,1700
1189,1.189,control,1167,-0.05365,-0.10000,-0.03051,-0.77374,2.57400,0.77110,2.57400,1000,1700
1209,1.209,control,1244,-0.05484,-0.10000,-0.02827,0.49252,2.57400,-1.04720,2.57400,2000,1700
1229,1.229,control,1266,-0.05518,-0.10000,-0.02987,-0.76954,2.57400,0.80276,2.57400,1000,1700
1249,1.249,control,1322,-0.05604,-0.10000,-0.02624,0.51923,2.57400,-1.04720,2.57400,2000,1700
1269,1.269,control,1318,-0.05598,-0.10000,-0.02418,-0.76473,2.57400,0.76540,2.57400,1000,1700
