t_ms,t_s,phase,count,p_m,p_ref_m,v_mps,theta_hat_rad,T_hat_N,theta_cmd_rad,T_cmd_N,servo_us,esc_us
6,0.006,control,-3425,-0.00000,-0.15000,0.00000,0.00000,2.57400,-1.04720,2.57400,2000,1700
24,0.024,control,-3422,-0.00005,-0.15000,-0.00032,-0.85836,2.57400,-1.04720,2.57400,2000,1700
44,0.044,control,-3427,0.00003,-0.15000,0.00012,-1.01314,2.57400,-1.04720,2.57400,2000,1700
64,0.064,control,-3474,0.00076,-0.15000,0.00533,-1.04106,2.57400,-1.04720,2.57400,2000,1700
84,0.084,control,-3529,0.00160,-0.15000,0.01283,-1.04609,2.57400,-1.04720,2.57400,2000,1700
126,0.126,control,-3543,0.00182,-0.15000,0.01692,-1.04700,2.57400,-1.04720,2.57400,2000,1700
145,0.145,control,-3495,0.00108,-0.15000,0.01242,-1.04716,2.57400,-1.04720,2.57400,2000,1700
165,0.165,control,-3406,-0.00029,-0.15000,-0.00362,-1.04719,2.57400,-1.04720,2.57400,2000,1700
185,0.185,control,-3295,-0.00201,-0.15000,-0.02636,-1.04720,2.57400,-1.04720,2.57400,2000,1700
205,0.205,control,-3152,-0.00421,-0.15000,-0.05014,-1.04720,2.57400,-1.04720,2.57400,2000,1700
226,0.226,control,-2957,-0.00722,-0.15000,-0.07315,-1.04720,2.57400,-1.04720,2.57400,2000,1700
245,0.245,control,-2654,-0.01190,-0.15000,-0.10317,-1.04720,2.57400,-0.77585,2.57400,1837,1700
265,0.265,control,-2298,-0.01739,-0.15000,-0.13863,-0.82478,2.57400,-0.85145,2.57400,1885,1700
285,0.285,control,-1928,-0.02310,-0.15000,-0.17379,-0.84664,2.57400,-0.30520,2.57400,1541,1700
305,0.305,control,-1526,-0.02930,-0.15000,-0.20670,-0.40284,2.57400,-0.94111,2.57400,1941,1700
325,0.325,control,-1113,-0.03567,-0.15000,-0.22845,-0.84404,2.57400,0.56771,2.57400,1000,1700
345,0.345,control,-684,-0.04229,-0.15000,-0.24286,0.31313,2.57400,-1.04720,2.57400,2000,1700
365,0.365,control,-233,-0.04925,-0.15000,-0.25593,-0.80189,2.57400,1.04720,2.57400,1000,1700
386,0.386,control,244,-0.05661,-0.15000,-0.26795,0.71376,2.57400,-1.04720,2.57400,2000,1700
406,0.406,control,670,-0.06318,-0.15000,-0.27296,-0.72965,2.57400,1.04720,2.57400,1000,1700
426,0.426,control,1111,-0.06999,-0.15000,-0.27576,0.72678,2.57400,-1.04720,2.57400,2000,1700
447,0.447,control,1472,-0.07556,-0.15000,-0.26688,-0.72730,2.57400,1.04720,2.57400,1000,1700
466,0.466,control,1828,-0.08105,-0.15000,-0.25115,0.72721,2.57400,-1.04720,2.57400,2000,1700
486,0.486,control,2134,-0.08577,-0.15000,-0.23347,-0.72722,2.57400,1.04720,2.57400,1000,1700
506,0.506,control,2477,-0.09107,-0.15000,-0.21758,0.72722,2.57400,-1.04720,2.57400,2000,1700
526,0.526,control,2751,-0.09529,-0.15000,-0.20341,-0.72722,2.57400,1.04720,2.57400,1000,1700
546,0.546,control,3067,-0.10017,-0.15000,-0.19485,0.72722,2.57400,-1.04720,2.57400,2000,1700
566,0.566,control,3296,-0.10370,-0.15000,-0.18396,-0.72722,2.57400,1.04720,2.57400,1000,1700
586,0.586,control,3556,-0.10771,-0.15000,-0.17173,0.72722,2.57400,-1.04720,2.57400,2000,1700
606,0.606,control,3708,-0.11006,-0.15000,-0.15488,-0.72722,2.57400,1.04720,2.57400,1000,1700
626,0.626,control,3896,-0.11296,-0.15000,-0.13600,0.72722,2.57400,-1.04720,2.57400,2000,1700
646,0.646,control,3984,-0.11432,-0.15000,-0.11511,-0.72722,2.57400,1.04720,2.57400,1000,1700
667,0.667,control,4110,-0.11626,-0.15000,-0.09437,0.72722,2.57400,-1.04720,2.57400,2000,1700
686,0.686,control,4130,-0.11657,-0.15000,-0.07389,-0.72722,2.57400,1.04720,2.57400,1000,1700
706,0.706,control,4206,-0.11774,-0.15000,-0.05565,0.72722,2.57400,-1.04720,2.57400,2000,1700
726,0.726,control,4209,-0.11779,-0.15000,-0.04100,-0.72722,2.57400,1.04720,2.57400,1000,1700
746,0.746,control,4260,-0.11858,-0.15000,-0.02850,0.72722,2.57400,-1.04720,2.57400,2000,1700
766,0.766,control,4256,-0.11851,-0.15000,-0.02216,-0.72722,2.57400,1.04646,2.57400,1000,1700
786,0.786,control,4289,-0.11902,-0.15000,-0.01561,0.72661,2.57400,-1.04720,2.57400,2000,1700
806,0.806,control,4259,-0.11856,-0.15000,-0.01008,-0.72733,2.57400,0.94117,2.57400,1000,1700
826,0.826,control,4288,-0.11901,-0.15000,-0.00605,0.64029,2.57400,-1.04720,2.57400,2000,1700
846,0.846,control,4259,-0.11856,-0.15000,-0.00214,-0.74290,2.57400,0.91012,2.57400,1000,1700
866,0.866,control,4281,-0.11890,-0.15000,0.00022,0.61203,2.57400,-1.04720,2.57400,2000,1700
905,0.905,control,4241,-0.11828,-0.15000,0.00201,-0.74799,2.57400,0.87750,2.57400,1000,1700
924,0.924,control,4202,-0.11768,-0.15000,0.00989,0.58438,2.57400,-1.04720,2.57400,2000,1700
944,0.944,control,4046,-0.11527,-0.15000,0.02597,-0.75298,2.57400,0.58321,2.57400,1000,1700
964,0.964,control,3933,-0.11353,-0.15000,0.04538,0.34226,2.57400,-1.04720,2.57400,2000,1700
984,0.984,control,3870,-0.11256,-0.15000,0.05368,-0.79664,2.57400,0.36271,2.57400,1121,1700
1004,1.004,control,3830,-0.11194,-0.15000,0.05628,0.15365,2.57400,-1.04720,2.57400,2000,1700
1024,1.024,control,3844,-0.11216,-0.15000,0.03870,-0.83065,2.57400,0.56891,2.57400,1000,1700
1044,1.044,control,3856,-0.11234,-0.15000,0.01993,0.31653,2.57400,-1.04720,2.57400,2000,1700
1064,1.064,control,3880,-0.11271,-0.15000,0.00490,-0.80128,2.57400,0.81169,2.57400,1000,1700
