t_ms,t_s,sweep_idx,direction,servo_us,count,count_zero,count_delta,theta_deg,theta_rad,segment
100,0.100,0,center,1450,0,0,0,0.000000,0.00000000,baseline_center
417,0.417,0,center,1450,0,0,0,0.000000,0.00000000,baseline_center
741,0.741,0,center,1450,0,0,0,0.000000,0.00000000,baseline_center
1063,1.063,0,center,1450,0,0,0,0.000000,0.00000000,baseline_center
3139,3.139,1,up,450,590,0,590,88.500000,1.54461650,sweep
3464,3.464,1,up,475,579,0,579,86.850000,1.51581850,sweep
3791,3.791,1,up,500,564,0,564,84.600000,1.47654860,sweep
4155,4.155,1,up,525,549,0,549,82.350000,1.43727880,sweep
4518,4.518,1,up,550,536,0,536,80.400000,1.40324470,sweep
4876,4.876,1,up,575,518,0,518,77.700008,1.35612080,sweep
5235,5.235,1,up,600,505,0,505,75.750000,1.32208690,sweep
5589,5.589,1,up,625,489,0,489,73.350000,1.28019900,sweep
5946,5.946,1,up,650,470,0,470,70.500000,1.23045720,sweep
6302,6.302,1,up,675,457,0,457,68.549992,1.19642320,sweep
6669,6.669,1,up,700,448,0,448,67.200000,1.17286130,sweep
7035,7.035,1,up,725,431,0,431,64.649992,1.12835540,sweep
7399,7.399,1,up,750,417,0,417,62.550000,1.09170340,sweep
7756,7.756,1,up,775,405,0,405,60.750000,1.06028760,sweep
8117,8.117,1,up,800,390,0,390,58.499996,1.02101760,sweep
8474,8.474,1,up,825,373,0,373,55.950000,0.97651180,sweep
8833,8.833,1,up,850,365,0,365,54.750000,0.95556784,sweep
9194,9.194,1,up,875,346,0,346,51.899996,0.90582590,sweep
9568,9.568,1,up,900,334,0,334,50.100004,0.87441000,sweep
9932,9.932,1,up,925,323,0,323,48.450000,0.84561210,sweep
10296,10.296,1,up,950,309,0,309,46.350000,0.80896010,sweep
10657,10.657,1,up,975,291,0,291,43.650000,0.76183630,sweep
11019,11.019,1,up,1000,278,0,278,41.700000,0.72780232,sweep
11379,11.379,1,up,1025,262,0,262,39.300000,0.68591440,sweep
11741,11.741,1,up,1050,246,0,246,36.900000,0.64402650,sweep
12105,12.105,1,up,1075,236,0,236,35.400000,0.61784660,sweep
12471,12.471,1,up,1100,213,0,213,31.949998,0.55763270,sweep
12834,12.834,1,up,1125,195,0,195,29.249998,0.51050880,sweep
13203,13.203,1,up,1150,185,0,185,27.750000,0.48432890,sweep
13564,13.564,1,up,1175,168,0,168,25.200000,0.43982296,sweep
13931,13.931,1,up,1200,150,0,150,22.500000,0.39269910,sweep
14293,14.293,1,up,1225,138,0,138,20.700000,0.36128320,sweep
14657,14.657,1,up,1250,123,0,123,18.450000,0.32201326,sweep
15028,15.028,1,up,1275,108,0,108,16.200000,0.28274336,sweep
15396,15.396,1,up,1300,93,0,93,13.950000,0.24347344,sweep
15763,15.763,1,up,1325,79,0,79,11.849999,0.20682152,sweep
16133,16.133,1,up,1350,58,0,58,8.700000,0.15184365,sweep
16500,16.500,1,up,1375,45,0,45,6.750000,0.11780974,sweep
16869,16.869,1,up,1400,28,0,28,4.200000,0.07330383,sweep
17236,17.236,1,up,1425,14,0,14,2.100000,0.03665192,sweep
17611,17.611,1,up,1450,2,0,2,0.300000,0.00523599,sweep
17980,17.980,1,up,1475,-15,0,-15,-2.250000,-0.03926991,sweep
18353,18.353,1,up,1500,-29,0,-29,-4.350000,-0.07592182,sweep
18724,18.724,1,up,1525,-43,0,-43,-6.450000,-0.11257374,sweep
19094,19.094,1,up,1550,-57,0,-57,-8.550000,-0.14922565,sweep
19465,19.465,1,up,1575,-70,0,-70,-10.500000,-0.18325958,sweep
19838,19.838,1,up,1600,-87,0,-87,-13.049999,-0.22776548,sweep
20210,20.210,1,up,1625,-106,0,-106,-15.900000,-0.27750736,sweep
20586,20.586,1,up,1650,-121,0,-121,-18.150000,-0.31677726,sweep
20967,20.967,1,up,1675,-142,0,-142,-21.300000,-0.37175512,sweep
21345,21.345,1,up,1700,-153,0,-153,-22.949998,-0.40055308,sweep
21718,21.718,1,up,1725,-169,0,-169,-25.350000,-0.44244100,sweep
22088,22.088,1,up,1750,-190,0,-190,-28.500000,-0.49741884,sweep
22458,22.458,1,up,1775,-206,0,-206,-30.900000,-0.53930676,sweep
22834,22.834,1,up,1800,-218,0,-218,-32.700000,-0.57072270,sweep
23213,23.213,1,up,1825,-237,0,-237,-35.550000,-0.62046456,sweep
23596,23.596,1,up,1850,-256,0,-256,-38.400000,-0.67020650,sweep
23970,23.970,1,up,1875,-267,0,-267,-40.050000,-0.69900440,sweep
24356,24.356,1,up,1900,-288,0,-288,-43.200000,-0.75398224,sweep
24728,24.728,1,up,1925,-302,0,-302,-45.300000,-0.79063416,sweep
25103,25.103,1,up,1950,-319,0,-319,-47.850004,-0.83514010,sweep
25477,25.477,1,up,1975,-334,0,-334,-50.100004,-0.87441000,sweep
25852,25.852,1,up,2000,-349,0,-349,-52.350000,-0.91367984,sweep
26261,26.261,1,up,2025,-360,0,-360,-54.000004,-0.94247790,sweep
26621,26.621,1,up,2050,-380,0,-380,-57.000000,-0.99483770,sweep
26977,26.977,1,up,2075,-393,0,-393,-58.949996,-1.02887150,sweep
27333,27.333,1,up,2100,-402,0,-402,-60.300004,-1.05243360,sweep
27688,27.688,1,up,2125,-419,0,-419,-62.850000,-1.09693940,sweep
28044,28.044,1,up,2150,-435,0,-435,-65.250000,-1.13882740,sweep
28399,28.399,1,up,2175,-448,0,-448,-67.200000,-1.17286130,sweep
28766,28.766,1,up,2200,-462,0,-462,-69.299992,-1.20951320,sweep
29125,29.125,1,up,2225,-479,0,-479,-71.850000,-1.25401920,sweep
29484,29.484,1,up,2250,-492,0,-492,-73.800000,-1.28805300,sweep
29839,29.839,1,up,2275,-510,0,-510,-76.500000,-1.33517700,sweep
30196,30.196,1,up,2300,-527,0,-527,-79.050000,-1.37968280,sweep
30553,30.553,1,up,2325,-539,0,-539,-80.850000,-1.41109870,sweep
30912,30.912,1,up,2350,-556,0,-556,-83.400000,-1.45560470,sweep
31282,31.282,1,up,2375,-570,0,-570,-85.500000,-1.49225650,sweep
31643,31.643,1,up,2400,-587,0,-587,-88.050000,-1.53676250,sweep
32007,32.007,1,up,2425,-601,0,-601,-90.150000,-1.57341430,sweep
32371,32.371,1,up,2450,-619,0,-619,-92.850000,-1.62053820,sweep
32734,32.734,1,down,2450,-619,0,-619,-92.850000,-1.62053820,sweep
