t_ms,t_s,run_name,segment,pwm_us,raw_count,tared_count,force_N,phase
65,0.065,global_1100_1950,baseline_pre,1525,-122017.000,45.570,0.001077,baseline_pre
158,0.158,global_1100_1950,baseline_pre,1525,-122074.000,-11.430,-0.000270,baseline_pre
250,0.250,global_1100_1950,baseline_pre,1525,-120595.000,1467.570,0.034679,baseline_pre
342,0.342,global_1100_1950,baseline_pre,1525,-110267.000,11795.570,0.278730,baseline_pre
433,0.433,global_1100_1950,baseline_pre,1525,-98624.000,23438.570,0.553854,baseline_pre
525,0.525,global_1100_1950,baseline_pre,1525,-92290.000,29772.570,0.703527,baseline_pre
617,0.617,global_1100_1950,baseline_pre,1525,-79952.000,42110.570,0.995074,baseline_pre
708,0.708,global_1100_1950,baseline_pre,1525,-63724.000,58338.570,1.378542,baseline_pre
801,0.801,global_1100_1950,baseline_pre,1525,-55393.000,66669.570,1.575404,baseline_pre
892,0.892,global_1100_1950,baseline_pre,1525,-52764.000,69298.570,1.637527,baseline_pre
985,0.985,global_1100_1950,baseline_pre,1525,-51955.000,70107.570,1.656644,baseline_pre
1076,1.076,global_1100_1950,baseline_pre,1525,-51484.000,70578.570,1.667774,baseline_pre
1168,1.168,global_1100_1950,baseline_pre,1525,-51039.000,71023.570,1.678289,baseline_pre
1260,1.260,global_1100_1950,baseline_pre,1525,-50925.000,71137.570,1.680983,baseline_pre
1352,1.352,global_1100_1950,baseline_pre,1525,-50849.000,71213.570,1.682779,baseline_pre
1444,1.444,global_1100_1950,baseline_pre,1525,-50738.000,71324.570,1.685402,baseline_pre
1535,1.535,global_1100_1950,baseline_pre,1525,-50652.000,71410.570,1.687434,baseline_pre
1628,1.628,global_1100_1950,baseline_pre,1525,-50759.000,71303.570,1.684905,baseline_pre
1719,1.719,global_1100_1950,baseline_pre,1525,-50542.000,71520.570,1.690033,baseline_pre
1812,1.812,global_1100_1950,baseline_pre,1525,-50734.000,71328.570,1.685496,baseline_pre
1903,1.903,global_1100_1950,baseline_pre,1525,-51218.000,70844.570,1.674059,baseline_pre
1995,1.995,global_1100_1950,baseline_pre,1525,-51319.000,70743.570,1.671672,baseline_pre
2087,2.087,global_1100_1950,baseline_pre,1525,-51256.000,70806.570,1.673161,baseline_pre
2179,2.179,global_1100_1950,baseline_pre,1525,-51007.000,71055.570,1.679045,baseline_pre
2271,2.271,global_1100_1950,baseline_pre,1525,-51133.000,70929.570,1.676068,baseline_pre
2362,2.362,global_1100_1950,baseline_pre,1525,-51238.000,70824.570,1.673586,baseline_pre
2455,2.455,global_1100_1950,baseline_pre,1525,-51214.000,70848.570,1.674154,baseline_pre
2546,2.546,global_1100_1950,baseline_pre,1525,-51197.000,70865.570,1.674555,baseline_pre
2639,2.639,global_1100_1950,baseline_pre,1525,-51155.000,70907.570,1.675548,baseline_pre
2730,2.730,global_1100_1950,baseline_pre,1525,-51035.000,71027.570,1.678384,baseline_pre
2822,2.822,global_1100_1950,baseline_pre,1525,-50989.000,71073.570,1.679470,baseline_pre
2914,2.914,global_1100_1950,baseline_pre,1525,-51295.000,70767.570,1.672240,baseline_pre
3006,3.006,global_1100_1950,baseline_pre,1525,-51551.000,70511.570,1.666190,baseline_pre
3098,3.098,global_1100_1950,settle,1525,-51777.000,70285.570,1.660850,settle
3189,3.189,global_1100_1950,settle,1525,-51760.000,70302.570,1.661252,settle
3281,3.281,global_1100_1950,settle,1525,-51582.000,70480.570,1.665458,settle
