t_ms,t_s,run_name,segment,pwm_us,raw_count,tared_count,force_N,phase
66,0.066,global_1100_1950,baseline_pre,1525,-119558.000,-47.750,-0.001128,baseline_pre
159,0.159,global_1100_1950,baseline_pre,1525,-119568.000,-57.750,-0.001365,baseline_pre
250,0.250,global_1100_1950,baseline_pre,1525,-117597.000,1913.250,0.045210,baseline_pre
342,0.342,global_1100_1950,baseline_pre,1525,-106437.000,13073.250,0.308921,baseline_pre
434,0.434,global_1100_1950,baseline_pre,1525,-92619.000,26891.250,0.635441,baseline_pre
525,0.525,global_1100_1950,baseline_pre,1525,-75256.000,44254.250,1.045729,baseline_pre
617,0.617,global_1100_1950,baseline_pre,1525,-54886.000,64624.250,1.527073,baseline_pre
709,0.709,global_1100_1950,baseline_pre,1525,-45705.000,73805.250,1.744020,baseline_pre
802,0.802,global_1100_1950,baseline_pre,1525,-43097.000,76413.250,1.805647,baseline_pre
893,0.893,global_1100_1950,baseline_pre,1525,-42321.000,77189.250,1.823984,baseline_pre
985,0.985,global_1100_1950,baseline_pre,1525,-42286.000,77224.250,1.824811,baseline_pre
1077,1.077,global_1100_1950,baseline_pre,1525,-42172.000,77338.250,1.827505,baseline_pre
1169,1.169,global_1100_1950,baseline_pre,1525,-41863.000,77647.250,1.834807,baseline_pre
1261,1.261,global_1100_1950,baseline_pre,1525,-41643.000,77867.250,1.840005,baseline_pre
1353,1.353,global_1100_1950,baseline_pre,1525,-41486.000,78024.250,1.843715,baseline_pre
1444,1.444,global_1100_1950,baseline_pre,1525,-41298.000,78212.250,1.848158,baseline_pre
1537,1.537,global_1100_1950,baseline_pre,1525,-40824.000,78686.250,1.859358,baseline_pre
1628,1.628,global_1100_1950,baseline_pre,1525,-40947.000,78563.250,1.856452,baseline_pre
1721,1.721,global_1100_1950,baseline_pre,1525,-41209.000,78301.250,1.850261,baseline_pre
1812,1.812,global_1100_1950,baseline_pre,1525,-41142.000,78368.250,1.851844,baseline_pre
1904,1.904,global_1100_1950,baseline_pre,1525,-41434.000,78076.250,1.844944,baseline_pre
1996,1.996,global_1100_1950,baseline_pre,1525,-41633.000,77877.250,1.840242,baseline_pre
2088,2.088,global_1100_1950,baseline_pre,1525,-41242.000,78268.250,1.849481,baseline_pre
2180,2.180,global_1100_1950,baseline_pre,1525,-41059.000,78451.250,1.853805,baseline_pre
2271,2.271,global_1100_1950,baseline_pre,1525,-40972.000,78538.250,1.855861,baseline_pre
2364,2.364,global_1100_1950,baseline_pre,1525,-40978.000,78532.250,1.855719,baseline_pre
2455,2.455,global_1100_1950,baseline_pre,1525,-40824.000,78686.250,1.859358,baseline_pre
2547,2.547,global_1100_1950,baseline_pre,1525,-40708.000,78802.250,1.862099,baseline_pre
2640,2.640,global_1100_1950,baseline_pre,1525,-41189.000,78321.250,1.850733,baseline_pre
2731,2.731,global_1100_1950,baseline_pre,1525,-41324.000,78186.250,1.847543,baseline_pre
