t_ms,t_s,servo_us,count
253,0.253,800,168
506,0.506,825,168
759,0.759,850,164
1012,1.012,875,160
1265,1.265,900,154
1568,1.568,925,150
1821,1.821,950,142
2074,2.074,975,136
2327,2.327,1000,130
2580,2.580,1025,128
2833,2.833,1050,122
3087,3.087,1075,118
3341,3.341,1100,114
3595,3.595,1125,102
3849,3.849,1150,94
4146,4.146,1175,86
4400,4.400,1200,70
4654,4.654,1225,59
4908,4.908,1250,59
5162,5.162,1275,59
5416,5.416,1300,58
5670,5.670,1325,58
5924,5.924,1350,40
6218,6.218,1375,29
6472,6.472,1400,28
6726,6.726,1425,20
7015,7.015,1450,11
7300,7.300,1475,10
7588,7.588,1500,2
7875,7.875,1525,-12
8159,8.159,1550,-22
8442,8.442,1575,-28
8726,8.726,1600,-40
9053,9.053,1625,-52
9337,9.337,1650,-60
9626,9.626,1675,-68
9922,9.922,1700,-78
10207,10.207,1725,-86
10494,10.494,1750,-96
10780,10.780,1775,-104
11066,11.066,1800,-110
11351,11.351,1825,-118
11640,11.640,1850,-128
11931,11.931,1875,-136
12219,12.219,1900,-148
12507,12.507,1925,-156
12791,12.791,1950,-164
13075,13.075,1975,-170
13360,13.360,2000,-176
13692,13.692,2025,-184
13984,13.984,2050,-198
14271,14.271,2075,-202
14565,14.565,2100,-210
14854,14.854,2125,-224
15140,15.140,2125,-224
15426,15.426,2100,-216
15712,15.712,2075,-208
16000,16.000,2050,-204
16287,16.287,2025,-196
16581,16.581,2000,-192
16873,16.873,1975,-186
17161,17.161,1950,-184
17449,17.449,1925,-174
17738,17.738,1900,-170
18024,18.024,1875,-164
18358,18.358,1850,-152
18649,18.649,1825,-146
18940,18.940,1800,-126
19230,19.230,1775,-126
19525,19.525,1750,-126
19813,19.813,1725,-128
20102,20.102,1700,-122
20390,20.390,1675,-110
20678,20.678,1650,-96
20973,20.973,1625,-92
21265,21.265,1600,-90
21559,21.559,1575,-72
21851,21.851,1550,-60
22142,22.142,1525,-49
22432,22.432,1500,-34
22721,22.721,1475,-26
23055,23.055,1450,-10
23349,23.349,1425,-2
23640,23.640,1400,4
23934,23.934,1375,16
24226,24.226,1350,26
24516,24.516,1325,32
24808,24.808,1300,40
25102,25.102,1275,54
25399,25.399,1250,62
25690,25.690,1225,62
25986,25.986,1200,68
26283,26.283,1175,72
26575,26.575,1150,78
26866,26.866,1125,86
27158,27.158,1100,98
27450,27.450,1075,98
27790,27.790,1050,134
28087,28.087,1025,152
28385,28.385,1000,164
28679,28.679,975,166
28980,28.980,950,170
29273,29.273,925,160
29566,29.566,900,166
29856,29.856,875,172
30147,30.147,850,184
30440,30.440,825,196
30736,30.736,800,204
31035,31.035,800,202
31335,31.335,825,194
31627,31.627,850,188
31922,31.922,875,180
32216,32.216,900,176
32554,32.554,925,176
32853,32.853,950,158
33149,33.149,975,158
33443,33.443,1000,154
33739,33.739,1025,148
34033,34.033,1050,142
34330,34.330,1075,136
34626,34.626,1100,128
34918,34.918,1125,120
35224,35.224,1150,114
35523,35.523,1175,106
35820,35.820,1200,94
36120,36.120,1225,86
36417,36.417,1250,80
36714,36.714,1275,72
37010,37.010,1300,62
37350,37.350,1325,54
37646,37.646,1350,46
37944,37.944,1375,38
38241,38.241,1400,8
38541,38.541,1425,-48
38836,38.836,1450,-74
39134,39.134,1475,-92
39431,39.431,1500,-94
39727,39.727,1525,-112
40030,40.030,1550,-128
40328,40.328,1575,-134
40627,40.627,1600,-146
40931,40.931,1625,-156
41226,41.226,1650,-164
41521,41.521,1675,-178
41821,41.821,1700,-182
42164,42.164,1725,-194
42463,42.463,1750,-206
42766,42.766,1775,-219
43068,43.068,1800,-222
43368,43.368,1825,-236
43666,43.666,1850,-244
43964,43.964,1875,-250
44261,44.261,1900,-254
44560,44.560,1925,-270
44867,44.867,1950,-280
45169,45.169,1975,-288
45471,45.471,2000,-300
45775,45.775,2025,-308
46073,46.073,2050,-320
46374,46.374,2075,-326
46675,46.675,2100,-332
47023,47.023,2125,-342
47328,47.328,2125,-344
47633,47.633,2100,-336
47934,47.934,2075,-328
48236,48.236,2050,-322
48538,48.538,2025,-310
48841,48.841,2000,-302
49141,49.141,1975,-294
49444,49.444,1950,-276
49749,49.749,1925,-268
50049,50.049,1900,-260
50350,50.350,1875,-252
50653,50.653,1850,-244
50955,50.955,1825,-234
51255,51.255,1800,-224
51554,51.554,1775,-216
51898,51.898,1750,-210
52203,52.203,1725,-200
52507,52.507,1700,-192
52811,52.811,1675,-182
53115,53.115,1650,-176
53418,53.418,1625,-166
53720,53.720,1600,-152
54022,54.022,1575,-144
54326,54.326,1550,-136
54629,54.629,1525,-122
54935,54.935,1500,-104
55277,55.277,1475,-74
55558,55.558,1450,-66
55838,55.838,1425,-30
56122,56.122,1400,-24
56406,56.406,1375,-36
56735,56.735,1350,-44
57019,57.019,1325,-26
57306,57.306,1300,-26
57589,57.589,1275,-14
57871,57.871,1250,8
58153,58.153,1225,12
58436,58.436,1200,24
58716,58.716,1175,30
59002,59.002,1150,36
59284,59.284,1125,48
59569,59.569,1100,58
59864,59.864,1075,74
60148,60.148,1050,84
60431,60.431,1025,94
60716,60.716,1000,98
61000,61.000,975,104
61329,61.329,950,114
61615,61.615,925,120
61904,61.904,900,130
62193,62.193,875,136
62478,62.478,850,142
62765,62.765,825,150
63051,63.051,800,162
