parameter,n_valid,mean_value,std_value,p2p5,p50,p97p5,min_value,max_value
K_rad_per_us,500,0.00158408983707025,2.52160700432859e-06,0.00157926489245033,0.00158416454831148,0.00158886987043931,0.00157648332198504,0.00159103672149165
tau_s,500,0.0281029980327532,0.00221040020556503,0.023748120584963,0.0282204732596127,0.0320763105402124,0.0195309441373126,0.0336787224551838
delay_s,500,0.029073648670671,0.000995016226097463,0.0274267292510419,0.028922750812096,0.0312598629152058,0.0269513333189306,0.0335910471959399
