t_ms,t_s,sweep_idx,direction,servo_us,count,count_delta_from_start,expected_deg_from_command,estimated_counts_per_rev
307,0.307,1,up,450,0,0,0.000,0.000
694,0.694,1,up,475,-8,-8,2.250,1280.000
1000,1.000,1,up,500,-23,-23,4.500,1840.000
1306,1.306,1,up,525,-38,-38,6.750,2026.667
1613,1.613,1,up,550,-51,-51,9.000,2040.000
1920,1.920,1,up,575,-70,-70,11.250,2240.000
2313,2.313,1,up,600,-82,-82,13.500,2186.666
2621,2.621,1,up,625,-99,-99,15.750,2262.857
2928,2.928,1,up,650,-118,-118,18.000,2360.000
3235,3.235,1,up,675,-130,-130,20.250,2311.111
3584,3.584,1,up,700,-139,-139,22.500,2224.000
3998,3.998,1,up,725,-155,-155,24.750,2254.546
4337,4.337,1,up,750,-169,-169,27.000,2253.333
4679,4.679,1,up,775,-181,-181,29.250,2227.692
5017,5.017,1,up,800,-197,-197,31.500,2251.429
5365,5.365,1,up,825,-214,-214,33.750,2282.667
5711,5.711,1,up,850,-223,-223,36.000,2230.000
6054,6.054,1,up,875,-239,-239,38.250,2249.412
6394,6.394,1,up,900,-253,-253,40.500,2248.889
6735,6.735,1,up,925,-262,-262,42.750,2206.316
7075,7.075,1,up,950,-277,-277,45.000,2216.000
7520,7.520,1,up,975,-296,-296,47.250,2255.238
7866,7.866,1,up,1000,-309,-309,49.500,2247.273
8212,8.212,1,up,1025,-326,-326,51.750,2267.826
8556,8.556,1,up,1050,-342,-342,54.000,2280.000
8897,8.897,1,up,1075,-351,-351,56.250,2246.400
9239,9.239,1,up,1100,-374,-374,58.500,2301.538
9582,9.582,1,up,1125,-392,-392,60.750,2322.963
9933,9.933,1,up,1150,-403,-403,63.000,2302.857
10280,10.280,1,up,1175,-420,-420,65.250,2317.241
10623,10.623,1,up,1200,-436,-436,67.500,2325.333
11057,11.057,1,up,1225,-449,-449,69.750,2317.420
11400,11.400,1,up,1250,-464,-464,72.000,2320.000
11744,11.744,1,up,1275,-481,-481,74.250,2332.121
12098,12.098,1,up,1300,-494,-494,76.500,2324.706
12447,12.447,1,up,1325,-508,-508,78.750,2322.286
12793,12.793,1,up,1350,-529,-529,81.000,2351.111
13140,13.140,1,up,1375,-542,-542,83.250,2343.784
13486,13.486,1,up,1400,-559,-559,85.500,2353.684
13831,13.831,1,up,1425,-573,-573,87.750,2350.769
14176,14.176,1,up,1450,-584,-584,90.000,2336.000
14619,14.619,1,up,1475,-602,-602,92.250,2349.268
14968,14.968,1,up,1500,-617,-617,94.500,2350.476
15319,15.319,1,up,1525,-630,-630,96.750,2344.186
15666,15.666,1,up,1550,-645,-645,99.000,2345.454
16015,16.015,1,up,1575,-659,-659,101.250,2343.111
16363,16.363,1,up,1600,-676,-676,103.500,2351.304
16712,16.712,1,up,1625,-693,-693,105.750,2359.149
17063,17.063,1,up,1650,-707,-707,108.000,2356.666
17418,17.418,1,up,1675,-728,-728,110.250,2377.143
17777,17.777,1,up,1700,-741,-741,112.500,2371.200
18220,18.220,1,up,1725,-756,-756,114.750,2371.765
18571,18.571,1,up,1750,-776,-776,117.000,2387.692
18922,18.922,1,up,1775,-793,-793,119.250,2393.962
19273,19.273,1,up,1800,-806,-806,121.500,2388.148
19625,19.625,1,up,1825,-826,-826,123.750,2402.909
19982,19.982,1,up,1850,-844,-844,126.000,2411.429
20338,20.338,1,up,1875,-855,-855,128.250,2400.000
20695,20.695,1,up,1900,-873,-873,130.500,2408.276
21050,21.050,1,up,1925,-889,-889,132.750,2410.848
21402,21.402,1,up,1950,-906,-906,135.000,2416.000
21851,21.851,1,up,1975,-921,-921,137.250,2415.738
22203,22.203,1,up,2000,-937,-937,139.500,2418.065
22557,22.557,1,up,2025,-947,-947,141.750,2405.079
22915,22.915,1,up,2050,-967,-967,144.000,2417.500
23277,23.277,1,up,2075,-979,-979,146.250,2409.846
23633,23.633,1,up,2100,-988,-988,148.500,2395.152
23985,23.985,1,up,2125,-1006,-1006,150.750,2402.388
24339,24.339,1,up,2150,-1021,-1021,153.000,2402.353
24691,24.691,1,up,2175,-1036,-1036,155.250,2402.319
25044,25.044,1,up,2200,-1049,-1049,157.500,2397.714
25491,25.491,1,up,2225,-1066,-1066,159.750,2402.254
25856,25.856,1,up,2250,-1080,-1080,162.000,2400.000
26216,26.216,1,up,2275,-1097,-1097,164.250,2404.384
26573,26.573,1,up,2300,-1114,-1114,166.500,2408.649
26930,26.930,1,up,2325,-1127,-1127,168.750,2404.266
27284,27.284,1,up,2350,-1142,-1142,171.000,2404.210
27639,27.639,1,up,2375,-1156,-1156,173.250,2402.078
27997,27.997,1,up,2400,-1173,-1173,175.500,2406.154
28356,28.356,1,up,2425,-1188,-1188,177.750,2406.076
28714,28.714,1,up,2450,-1206,-1206,180.000,2412.000
29871,29.871,1,up_endpoint_settled,2450,-1207,-1207,180.000,2414.000
30262,30.262,1,down,2450,-1207,-1207,180.000,2414.000
30598,30.598,1,down,2425,-1195,-1195,177.750,2420.253
30934,30.934,1,down,2400,-1179,-1179,175.500,2418.462
31270,31.270,1,down,2375,-1160,-1160,173.250,2410.390
31612,31.612,1,down,2350,-1150,-1150,171.000,2421.053
31951,31.951,1,down,2325,-1133,-1133,168.750,2417.067
32291,32.291,1,down,2300,-1118,-1118,166.500,2417.297
32632,32.632,1,down,2275,-1103,-1103,164.250,2417.534
32972,32.972,1,down,2250,-1087,-1087,162.000,2415.556
33400,33.400,1,down,2225,-1072,-1072,159.750,2415.775
33739,33.739,1,down,2200,-1060,-1060,157.500,2422.857
34078,34.078,1,down,2175,-1044,-1044,155.250,2420.870
34423,34.423,1,down,2150,-1028,-1028,153.000,2418.824
34764,34.764,1,down,2125,-1013,-1013,150.750,2419.104
35108,35.108,1,down,2100,-997,-997,148.500,2416.970
35450,35.450,1,down,2075,-984,-984,146.250,2422.154
35789,35.789,1,down,2050,-974,-974,144.000,2435.000
36130,36.130,1,down,2025,-958,-958,141.750,2433.016
36473,36.473,1,down,2000,-945,-945,139.500,2438.710
36913,36.913,1,down,1975,-931,-931,137.250,2441.967
37261,37.261,1,down,1950,-915,-915,135.000,2440.000
37613,37.613,1,down,1925,-899,-899,132.750,2437.966
37963,37.963,1,down,1900,-885,-885,130.500,2441.379
38307,38.307,1,down,1875,-868,-868,128.250,2436.491
38650,38.650,1,down,1850,-854,-854,126.000,2440.000
38993,38.993,1,down,1825,-838,-838,123.750,2437.818
39339,39.339,1,down,1800,-822,-822,121.500,2435.556
39690,39.690,1,down,1775,-807,-807,119.250,2436.226
40043,40.043,1,down,1750,-792,-792,117.000,2436.923
40480,40.480,1,down,1725,-772,-772,114.750,2421.961
40837,40.837,1,down,1700,-760,-760,112.500,2432.000
41181,41.181,1,down,1675,-745,-745,110.250,2432.653
41526,41.526,1,down,1650,-726,-726,108.000,2420.000
41871,41.871,1,down,1625,-711,-711,105.750,2420.426
42216,42.216,1,down,1600,-694,-694,103.500,2413.913
42564,42.564,1,down,1575,-677,-677,101.250,2407.111
42913,42.913,1,down,1550,-664,-664,99.000,2414.546
43261,43.261,1,down,1525,-650,-650,96.750,2418.604
43611,43.611,1,down,1500,-635,-635,94.500,2419.048
44057,44.057,1,down,1475,-622,-622,92.250,2427.317
44406,44.406,1,down,1450,-604,-604,90.000,2416.000
44754,44.754,1,down,1425,-592,-592,87.750,2428.718
45104,45.104,1,down,1400,-581,-581,85.500,2446.316
45458,45.458,1,down,1375,-565,-565,83.250,2443.243
45807,45.807,1,down,1350,-548,-548,81.000,2435.556
46159,46.159,1,down,1325,-531,-531,78.750,2427.428
46510,46.510,1,down,1300,-515,-515,76.500,2423.529
46860,46.860,1,down,1275,-500,-500,74.250,2424.242
47211,47.211,1,down,1250,-484,-484,72.000,2420.000
47654,47.654,1,down,1225,-469,-469,69.750,2420.645
48004,48.004,1,down,1200,-453,-453,67.500,2416.000
48368,48.368,1,down,1175,-440,-440,65.250,2427.586
48723,48.723,1,down,1150,-425,-425,63.000,2428.572
49080,49.080,1,down,1125,-408,-408,60.750,2417.778
49437,49.437,1,down,1100,-393,-393,58.500,2418.462
49789,49.789,1,down,1075,-377,-377,56.250,2412.800
50142,50.142,1,down,1050,-358,-358,54.000,2386.666
50494,50.494,1,down,1025,-345,-345,51.750,2400.000
50846,50.846,1,down,1000,-327,-327,49.500,2378.182
51300,51.300,1,down,975,-312,-312,47.250,2377.143
51653,51.653,1,down,950,-297,-297,45.000,2376.000
52008,52.008,1,down,925,-280,-280,42.750,2357.895
52359,52.359,1,down,900,-265,-265,40.500,2355.556
52713,52.713,1,down,875,-255,-255,38.250,2400.000
53067,53.067,1,down,850,-239,-239,36.000,2390.000
53421,53.421,1,down,825,-226,-226,33.750,2410.667
53783,53.783,1,down,800,-211,-211,31.500,2411.429
54140,54.140,1,down,775,-197,-197,29.250,2424.616
54496,54.496,1,down,750,-182,-182,27.000,2426.666
54953,54.953,1,down,725,-168,-168,24.750,2443.636
55307,55.307,1,down,700,-150,-150,22.500,2400.000
55661,55.661,1,down,675,-136,-136,20.250,2417.778
56017,56.017,1,down,650,-124,-124,18.000,2480.000
56374,56.374,1,down,625,-105,-105,15.750,2400.000
56734,56.734,1,down,600,-88,-88,13.500,2346.666
57097,57.097,1,down,575,-77,-77,11.250,2464.000
57456,57.456,1,down,550,-59,-59,9.000,2360.000
57816,57.816,1,down,525,-45,-45,6.750,2400.000
58171,58.171,1,down,500,-29,-29,4.500,2320.000
58623,58.623,1,down,475,-14,-14,2.250,2240.000
59010,59.010,1,down,450,-1,-1,0.000,0.000
60055,60.055,1,down_endpoint_settled,450,-1,-1,0.000,0.000
60394,60.394,2,up,450,-1,-1,0.000,0.000
60732,60.732,2,up,475,-7,-7,2.250,1120.000
