t_ms,t_s,set_index,segment,phase,servo_us,esc_pwm_us,count,count_delta,count_from_start
10005,10.005,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10025,10.025,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10045,10.045,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10065,10.065,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10085,10.085,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10105,10.105,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10125,10.125,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10164,10.164,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10184,10.184,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10204,10.204,1,angle_p20_esc1700,user_wait,1211,1000,8453,0,0
10225,10.225,1,angle_p20_esc1700,run,1211,1700,8453,0,0
10246,10.246,1,angle_p20_esc1700,run,1211,1700,8453,0,0
10266,10.266,1,angle_p20_esc1700,run,1211,1700,8453,0,0
10286,10.286,1,angle_p20_esc1700,run,1211,1700,8453,0,0
10306,10.306,1,angle_p20_esc1700,run,1211,1700,8453,0,0
10326,10.326,1,angle_p20_esc1700,run,1211,1700,8453,0,0
10347,10.347,1,angle_p20_esc1700,run,1211,1700,8453,0,0
10367,10.367,1,angle_p20_esc1700,run,1211,1700,8453,0,0
10387,10.387,1,angle_p20_esc1700,run,1211,1700,8453,0,0
10407,10.407,1,angle_p20_esc1700,run,1211,1700,8452,-1,-1
10427,10.427,1,angle_p20_esc1700,run,1211,1700,8448,-4,-5
10447,10.447,1,angle_p20_esc1700,run,1211,1700,8449,1,-4
10467,10.467,1,angle_p20_esc1700,run,1211,1700,8441,-8,-12
10487,10.487,1,angle_p20_esc1700,run,1211,1700,8428,-13,-25
10507,10.507,1,angle_p20_esc1700,run,1211,1700,8417,-11,-36
10527,10.527,1,angle_p20_esc1700,run,1211,1700,8400,-17,-53
10547,10.547,1,angle_p20_esc1700,run,1211,1700,8387,-13,-66
10567,10.567,1,angle_p20_esc1700,run,1211,1700,8365,-22,-88
10587,10.587,1,angle_p20_esc1700,run,1211,1700,8343,-22,-110
10607,10.607,1,angle_p20_esc1700,run,1211,1700,8318,-25,-135
10627,10.627,1,angle_p20_esc1700,run,1211,1700,8287,-31,-166
10647,10.647,1,angle_p20_esc1700,run,1211,1700,8244,-43,-209
10667,10.667,1,angle_p20_esc1700,run,1211,1700,8196,-48,-257
10687,10.687,1,angle_p20_esc1700,run,1211,1700,8143,-53,-310
10707,10.707,1,angle_p20_esc1700,run,1211,1700,8084,-59,-369
10727,10.727,1,angle_p20_esc1700,run,1211,1700,8021,-63,-432
10747,10.747,1,angle_p20_esc1700,run,1211,1700,7949,-72,-504
10767,10.767,1,angle_p20_esc1700,run,1211,1700,7868,-81,-585
10787,10.787,1,angle_p20_esc1700,run,1211,1700,7770,-98,-683
10807,10.807,1,angle_p20_esc1700,run,1211,1700,7676,-94,-777
10827,10.827,1,angle_p20_esc1700,run,1211,1700,7583,-93,-870
10847,10.847,1,angle_p20_esc1700,run,1211,1700,7480,-103,-973
10867,10.867,1,angle_p20_esc1700,run,1211,1700,7371,-109,-1082
