t_ms,t_s,set_index,segment,phase,servo_us,esc_pwm_us,count,count_delta,count_from_start
10005,10.005,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10025,10.025,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10045,10.045,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10065,10.065,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10085,10.085,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10105,10.105,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10125,10.125,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10160,10.160,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10180,10.180,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10200,10.200,1,angle_p20_esc1800,user_wait,1211,1000,8663,0,0
10222,10.222,1,angle_p20_esc1800,run,1211,1800,8663,0,0
10243,10.243,1,angle_p20_esc1800,run,1211,1800,8663,0,0
10263,10.263,1,angle_p20_esc1800,run,1211,1800,8662,-1,-1
10283,10.283,1,angle_p20_esc1800,run,1211,1800,8662,0,-1
10303,10.303,1,angle_p20_esc1800,run,1211,1800,8662,0,-1
10323,10.323,1,angle_p20_esc1800,run,1211,1800,8662,0,-1
10344,10.344,1,angle_p20_esc1800,run,1211,1800,8662,0,-1
10364,10.364,1,angle_p20_esc1800,run,1211,1800,8662,0,-1
10384,10.384,1,angle_p20_esc1800,run,1211,1800,8662,0,-1
10404,10.404,1,angle_p20_esc1800,run,1211,1800,8661,-1,-2
10424,10.424,1,angle_p20_esc1800,run,1211,1800,8653,-8,-10
10444,10.444,1,angle_p20_esc1800,run,1211,1800,8643,-10,-20
10464,10.464,1,angle_p20_esc1800,run,1211,1800,8620,-23,-43
10484,10.484,1,angle_p20_esc1800,run,1211,1800,8597,-23,-66
10504,10.504,1,angle_p20_esc1800,run,1211,1800,8570,-27,-93
10524,10.524,1,angle_p20_esc1800,run,1211,1800,8544,-26,-119
10544,10.544,1,angle_p20_esc1800,run,1211,1800,8517,-27,-146
10564,10.564,1,angle_p20_esc1800,run,1211,1800,8490,-27,-173
10584,10.584,1,angle_p20_esc1800,run,1211,1800,8464,-26,-199
10604,10.604,1,angle_p20_esc1800,run,1211,1800,8430,-34,-233
10624,10.624,1,angle_p20_esc1800,run,1211,1800,8398,-32,-265
10644,10.644,1,angle_p20_esc1800,run,1211,1800,8350,-48,-313
10664,10.664,1,angle_p20_esc1800,run,1211,1800,8293,-57,-370
10684,10.684,1,angle_p20_esc1800,run,1211,1800,8226,-67,-437
10704,10.704,1,angle_p20_esc1800,run,1211,1800,8137,-89,-526
10724,10.724,1,angle_p20_esc1800,run,1211,1800,8044,-93,-619
10744,10.744,1,angle_p20_esc1800,run,1211,1800,7935,-109,-728
10764,10.764,1,angle_p20_esc1800,run,1211,1800,7816,-119,-847
10784,10.784,1,angle_p20_esc1800,run,1211,1800,7683,-133,-980
10804,10.804,1,angle_p20_esc1800,run,1211,1800,7546,-137,-1117
10824,10.824,1,angle_p20_esc1800,run,1211,1800,7389,-157,-1274
10844,10.844,1,angle_p20_esc1800,run,1211,1800,7227,-162,-1436
10864,10.864,1,angle_p20_esc1800,run,1211,1800,7051,-176,-1612
10884,10.884,1,angle_p20_esc1800,run,1211,1800,6869,-182,-1794
10904,10.904,1,angle_p20_esc1800,run,1211,1800,6683,-186,-1980
10924,10.924,1,angle_p20_esc1800,run,1211,1800,6487,-196,-2176
10944,10.944,1,angle_p20_esc1800,run,1211,1800,6285,-202,-2378
10964,10.964,1,angle_p20_esc1800,run,1211,1800,6075,-210,-2588
10984,10.984,1,angle_p20_esc1800,run,1211,1800,5856,-219,-2807
11004,11.004,1,angle_p20_esc1800,run,1211,1800,5627,-229,-3036
11024,11.024,1,angle_p20_esc1800,run,1211,1800,5384,-243,-3279
11044,11.044,1,angle_p20_esc1800,run,1211,1800,5128,-256,-3535
11064,11.064,1,angle_p20_esc1800,run,1211,1800,4868,-260,-3795
11084,11.084,1,angle_p20_esc1800,run,1211,1800,4590,-278,-4073
11104,11.104,1,angle_p20_esc1800,run,1211,1800,4310,-280,-4353
11124,11.124,1,angle_p20_esc1800,run,1211,1800,4036,-274,-4627
11144,11.144,1,angle_p20_esc1800,run,1211,1800,3745,-291,-4918
11164,11.164,1,angle_p20_esc1800,run,1211,1800,3461,-284,-5202
11184,11.184,1,angle_p20_esc1800,run,1211,1800,3176,-285,-5487
11204,11.204,1,angle_p20_esc1800,run,1211,1800,2868,-308,-5795
11224,11.224,1,angle_p20_esc1800,run,1211,1800,2572,-296,-6091
11244,11.244,1,angle_p20_esc1800,run,1211,1800,2260,-312,-6403
11264,11.264,1,angle_p20_esc1800,run,1211,1800,1952,-308,-6711
11284,11.284,1,angle_p20_esc1800,run,1211,1800,1654,-298,-7009
11304,11.304,1,angle_p20_esc1800,run,1211,1800,1354,-300,-7309
11324,11.324,1,angle_p20_esc1800,run,1211,1800,1061,-293,-7602
11363,11.363,1,angle_p20_esc1800,run,1211,1800,501,-560,-8162
11384,11.384,1,angle_p20_esc1800,run,1211,1800,203,-298,-8460
11404,11.404,1,angle_p20_esc1800,run,1211,1800,-84,-287,-8747
11424,11.424,1,angle_p20_esc1800,run,1211,1800,-364,-280,-9027
11444,11.444,1,angle_p20_esc1800,run,1211,1800,-629,-265,-9292
11464,11.464,1,angle_p20_esc1800,run,1211,1800,-892,-263,-9555
11484,11.484,1,angle_p20_esc1800,run,1211,1800,-1157,-265,-9820
11504,11.504,1,angle_p20_esc1800,run,1211,1800,-1408,-251,-10071
11524,11.524,1,angle_p20_esc1800,run,1211,1800,-1666,-258,-10329
11544,11.544,1,angle_p20_esc1800,run,1211,1800,-1920,-254,-10583
11564,11.564,1,angle_p20_esc1800,run,1211,1800,-2161,-241,-10824
11584,11.584,1,angle_p20_esc1800,run,1211,1800,-2422,-261,-11085
11604,11.604,1,angle_p20_esc1800,run,1211,1800,-2659,-237,-11322
11624,11.624,1,angle_p20_esc1800,run,1211,1800,-2893,-234,-11556
11644,11.644,1,angle_p20_esc1800,run,1211,1800,-3127,-234,-11790
11664,11.664,1,angle_p20_esc1800,run,1211,1800,-3343,-216,-12006
11684,11.684,1,angle_p20_esc1800,run,1211,1800,-3564,-221,-12227
11704,11.704,1,angle_p20_esc1800,run,1211,1800,-3776,-212,-12439
