t_ms,t_s,set_index,segment,phase,servo_us,esc_pwm_us,count,count_delta,count_from_start
10005,10.005,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10025,10.025,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10045,10.045,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10065,10.065,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10085,10.085,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10105,10.105,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10125,10.125,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10161,10.161,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10182,10.182,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10202,10.202,1,angle_n20_esc1300,user_wait,1651,1000,-11529,0,0
10223,10.223,1,angle_n20_esc1300,run,1651,1300,-11529,0,0
10243,10.243,1,angle_n20_esc1300,run,1651,1300,-11529,0,0
10263,10.263,1,angle_n20_esc1300,run,1651,1300,-11528,1,1
10283,10.283,1,angle_n20_esc1300,run,1651,1300,-11528,0,1
10303,10.303,1,angle_n20_esc1300,run,1651,1300,-11528,0,1
10323,10.323,1,angle_n20_esc1300,run,1651,1300,-11528,0,1
10343,10.343,1,angle_n20_esc1300,run,1651,1300,-11527,1,2
10363,10.363,1,angle_n20_esc1300,run,1651,1300,-11527,0,2
10383,10.383,1,angle_n20_esc1300,run,1651,1300,-11526,1,3
10403,10.403,1,angle_n20_esc1300,run,1651,1300,-11526,0,3
10423,10.423,1,angle_n20_esc1300,run,1651,1300,-11525,1,4
10443,10.443,1,angle_n20_esc1300,run,1651,1300,-11525,0,4
10463,10.463,1,angle_n20_esc1300,run,1651,1300,-11521,4,8
10483,10.483,1,angle_n20_esc1300,run,1651,1300,-11521,0,8
10503,10.503,1,angle_n20_esc1300,run,1651,1300,-11518,3,11
10523,10.523,1,angle_n20_esc1300,run,1651,1300,-11514,4,15
10543,10.543,1,angle_n20_esc1300,run,1651,1300,-11512,2,17
10563,10.563,1,angle_n20_esc1300,run,1651,1300,-11510,2,19
10583,10.583,1,angle_n20_esc1300,run,1651,1300,-11506,4,23
10603,10.603,1,angle_n20_esc1300,run,1651,1300,-11502,4,27
10623,10.623,1,angle_n20_esc1300,run,1651,1300,-11500,2,29
10643,10.643,1,angle_n20_esc1300,run,1651,1300,-11498,2,31
10663,10.663,1,angle_n20_esc1300,run,1651,1300,-11496,2,33
10683,10.683,1,angle_n20_esc1300,run,1651,1300,-11494,2,35
10703,10.703,1,angle_n20_esc1300,run,1651,1300,-11489,5,40
10723,10.723,1,angle_n20_esc1300,run,1651,1300,-11486,3,43
10743,10.743,1,angle_n20_esc1300,run,1651,1300,-11481,5,48
10763,10.763,1,angle_n20_esc1300,run,1651,1300,-11480,1,49
10783,10.783,1,angle_n20_esc1300,run,1651,1300,-11477,3,52
10803,10.803,1,angle_n20_esc1300,run,1651,1300,-11475,2,54
10823,10.823,1,angle_n20_esc1300,run,1651,1300,-11473,2,56
10843,10.843,1,angle_n20_esc1300,run,1651,1300,-11472,1,57
10863,10.863,1,angle_n20_esc1300,run,1651,1300,-11470,2,59
10883,10.883,1,angle_n20_esc1300,run,1651,1300,-11469,1,60
10903,10.903,1,angle_n20_esc1300,run,1651,1300,-11468,1,61
10923,10.923,1,angle_n20_esc1300,run,1651,1300,-11464,4,65
10943,10.943,1,angle_n20_esc1300,run,1651,1300,-11461,3,68
10963,10.963,1,angle_n20_esc1300,run,1651,1300,-11461,0,68
10983,10.983,1,angle_n20_esc1300,run,1651,1300,-11460,1,69
11003,11.003,1,angle_n20_esc1300,run,1651,1300,-11456,4,73
11023,11.023,1,angle_n20_esc1300,run,1651,1300,-11453,3,76
11043,11.043,1,angle_n20_esc1300,run,1651,1300,-11451,2,78
11063,11.063,1,angle_n20_esc1300,run,1651,1300,-11450,1,79
11083,11.083,1,angle_n20_esc1300,run,1651,1300,-11451,-1,78
11103,11.103,1,angle_n20_esc1300,run,1651,1300,-11449,2,80
11123,11.123,1,angle_n20_esc1300,run,1651,1300,-11446,3,83
11143,11.143,1,angle_n20_esc1300,run,1651,1300,-11442,4,87
11163,11.163,1,angle_n20_esc1300,run,1651,1300,-11440,2,89
11183,11.183,1,angle_n20_esc1300,run,1651,1300,-11437,3,92
11203,11.203,1,angle_n20_esc1300,run,1651,1300,-11436,1,93
11223,11.223,1,angle_n20_esc1300,run,1651,1300,-11436,0,93
11243,11.243,1,angle_n20_esc1300,run,1651,1300,-11436,0,93
11263,11.263,1,angle_n20_esc1300,run,1651,1300,-11436,0,93
11283,11.283,1,angle_n20_esc1300,run,1651,1300,-11434,2,95
11303,11.303,1,angle_n20_esc1300,run,1651,1300,-11433,1,96
11323,11.323,1,angle_n20_esc1300,run,1651,1300,-11431,2,98
11343,11.343,1,angle_n20_esc1300,run,1651,1300,-11428,3,101
11363,11.363,1,angle_n20_esc1300,run,1651,1300,-11427,1,102
11400,11.400,1,angle_n20_esc1300,run,1651,1300,-11424,3,105
11420,11.420,1,angle_n20_esc1300,run,1651,1300,-11423,1,106
11440,11.440,1,angle_n20_esc1300,run,1651,1300,-11422,1,107
11460,11.460,1,angle_n20_esc1300,run,1651,1300,-11422,0,107
11480,11.480,1,angle_n20_esc1300,run,1651,1300,-11421,1,108
11500,11.500,1,angle_n20_esc1300,run,1651,1300,-11420,1,109
11520,11.520,1,angle_n20_esc1300,run,1651,1300,-11420,0,109
11540,11.540,1,angle_n20_esc1300,run,1651,1300,-11419,1,110
11560,11.560,1,angle_n20_esc1300,run,1651,1300,-11417,2,112
11580,11.580,1,angle_n20_esc1300,run,1651,1300,-11416,1,113
11600,11.600,1,angle_n20_esc1300,run,1651,1300,-11416,0,113
11620,11.620,1,angle_n20_esc1300,run,1651,1300,-11414,2,115
11640,11.640,1,angle_n20_esc1300,run,1651,1300,-11413,1,116
11660,11.660,1,angle_n20_esc1300,run,1651,1300,-11411,2,118
11680,11.680,1,angle_n20_esc1300,run,1651,1300,-11410,1,119
11700,11.700,1,angle_n20_esc1300,run,1651,1300,-11410,0,119
11720,11.720,1,angle_n20_esc1300,run,1651,1300,-11410,0,119
11740,11.740,1,angle_n20_esc1300,run,1651,1300,-11409,1,120
11760,11.760,1,angle_n20_esc1300,run,1651,1300,-11409,0,120
11780,11.780,1,angle_n20_esc1300,run,1651,1300,-11408,1,121
11800,11.800,1,angle_n20_esc1300,run,1651,1300,-11407,1,122
11820,11.820,1,angle_n20_esc1300,run,1651,1300,-11407,0,122
11840,11.840,1,angle_n20_esc1300,run,1651,1300,-11406,1,123
11860,11.860,1,angle_n20_esc1300,run,1651,1300,-11404,2,125
11880,11.880,1,angle_n20_esc1300,run,1651,1300,-11402,2,127
11900,11.900,1,angle_n20_esc1300,run,1651,1300,-11400,2,129
11920,11.920,1,angle_n20_esc1300,run,1651,1300,-11399,1,130
11940,11.940,1,angle_n20_esc1300,run,1651,1300,-11399,0,130
11960,11.960,1,angle_n20_esc1300,run,1651,1300,-11398,1,131
11980,11.980,1,angle_n20_esc1300,run,1651,1300,-11398,0,131
12000,12.000,1,angle_n20_esc1300,run,1651,1300,-11398,0,131
12020,12.020,1,angle_n20_esc1300,run,1651,1300,-11398,0,131
12040,12.040,1,angle_n20_esc1300,run,1651,1300,-11397,1,132
12060,12.060,1,angle_n20_esc1300,run,1651,1300,-11397,0,132
12080,12.080,1,angle_n20_esc1300,run,1651,1300,-11395,2,134
12100,12.100,1,angle_n20_esc1300,run,1651,1300,-11394,1,135
12120,12.120,1,angle_n20_esc1300,run,1651,1300,-11392,2,137
12140,12.140,1,angle_n20_esc1300,run,1651,1300,-11391,1,138
12160,12.160,1,angle_n20_esc1300,run,1651,1300,-11389,2,140
12180,12.180,1,angle_n20_esc1300,run,1651,1300,-11389,0,140
12200,12.200,1,angle_n20_esc1300,run,1651,1300,-11388,1,141
12220,12.220,1,angle_n20_esc1300,run,1651,1300,-11389,-1,140
12240,12.240,1,angle_n20_esc1300,run,1651,1300,-11389,0,140
12260,12.260,1,angle_n20_esc1300,run,1651,1300,-11389,0,140
12280,12.280,1,angle_n20_esc1300,run,1651,1300,-11389,0,140
12300,12.300,1,angle_n20_esc1300,run,1651,1300,-11388,1,141
12320,12.320,1,angle_n20_esc1300,run,1651,1300,-11387,1,142
12340,12.340,1,angle_n20_esc1300,run,1651,1300,-11385,2,144
12360,12.360,1,angle_n20_esc1300,run,1651,1300,-11384,1,145
12380,12.380,1,angle_n20_esc1300,run,1651,1300,-11383,1,146
12400,12.400,1,angle_n20_esc1300,run,1651,1300,-11383,0,146
12420,12.420,1,angle_n20_esc1300,run,1651,1300,-11382,1,147
12440,12.440,1,angle_n20_esc1300,run,1651,1300,-11382,0,147
12460,12.460,1,angle_n20_esc1300,run,1651,1300,-11382,0,147
12480,12.480,1,angle_n20_esc1300,run,1651,1300,-11383,-1,146
12500,12.500,1,angle_n20_esc1300,run,1651,1300,-11383,0,146
12520,12.520,1,angle_n20_esc1300,run,1651,1300,-11382,1,147
12540,12.540,1,angle_n20_esc1300,run,1651,1300,-11381,1,148
12560,12.560,1,angle_n20_esc1300,run,1651,1300,-11380,1,149
12580,12.580,1,angle_n20_esc1300,run,1651,1300,-11379,1,150
12600,12.600,1,angle_n20_esc1300,run,1651,1300,-11378,1,151
12620,12.620,1,angle_n20_esc1300,run,1651,1300,-11377,1,152
12640,12.640,1,angle_n20_esc1300,run,1651,1300,-11376,1,153
12660,12.660,1,angle_n20_esc1300,run,1651,1300,-11376,0,153
12680,12.680,1,angle_n20_esc1300,run,1651,1300,-11376,0,153
12700,12.700,1,angle_n20_esc1300,run,1651,1300,-11376,0,153
12720,12.720,1,angle_n20_esc1300,run,1651,1300,-11376,0,153
12740,12.740,1,angle_n20_esc1300,run,1651,1300,-11376,0,153
12781,12.781,1,angle_n20_esc1300,run,1651,1300,-11375,1,154
12801,12.801,1,angle_n20_esc1300,run,1651,1300,-11374,1,155
12821,12.821,1,angle_n20_esc1300,run,1651,1300,-11372,2,157
