t_ms,t_s,set_index,segment,phase,servo_us,esc_pwm_us,count,count_delta,count_from_start
10005,10.005,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10025,10.025,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10045,10.045,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10065,10.065,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10085,10.085,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10105,10.105,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10125,10.125,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10160,10.160,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10180,10.180,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10200,10.200,1,angle_n20_esc1500,user_wait,1651,1000,-11272,0,0
10222,10.222,1,angle_n20_esc1500,run,1651,1500,-11272,0,0
10242,10.242,1,angle_n20_esc1500,run,1651,1500,-11272,0,0
10262,10.262,1,angle_n20_esc1500,run,1651,1500,-11272,0,0
10282,10.282,1,angle_n20_esc1500,run,1651,1500,-11272,0,0
10302,10.302,1,angle_n20_esc1500,run,1651,1500,-11272,0,0
10322,10.322,1,angle_n20_esc1500,run,1651,1500,-11272,0,0
10342,10.342,1,angle_n20_esc1500,run,1651,1500,-11272,0,0
10362,10.362,1,angle_n20_esc1500,run,1651,1500,-11272,0,0
10382,10.382,1,angle_n20_esc1500,run,1651,1500,-11272,0,0
10402,10.402,1,angle_n20_esc1500,run,1651,1500,-11270,2,2
10422,10.422,1,angle_n20_esc1500,run,1651,1500,-11271,-1,1
10442,10.442,1,angle_n20_esc1500,run,1651,1500,-11268,3,4
10462,10.462,1,angle_n20_esc1500,run,1651,1500,-11267,1,5
10482,10.482,1,angle_n20_esc1500,run,1651,1500,-11263,4,9
10502,10.502,1,angle_n20_esc1500,run,1651,1500,-11259,4,13
10522,10.522,1,angle_n20_esc1500,run,1651,1500,-11256,3,16
10542,10.542,1,angle_n20_esc1500,run,1651,1500,-11250,6,22
10562,10.562,1,angle_n20_esc1500,run,1651,1500,-11242,8,30
10582,10.582,1,angle_n20_esc1500,run,1651,1500,-11235,7,37
10602,10.602,1,angle_n20_esc1500,run,1651,1500,-11227,8,45
10622,10.622,1,angle_n20_esc1500,run,1651,1500,-11211,16,61
10642,10.642,1,angle_n20_esc1500,run,1651,1500,-11203,8,69
10662,10.662,1,angle_n20_esc1500,run,1651,1500,-11196,7,76
10682,10.682,1,angle_n20_esc1500,run,1651,1500,-11192,4,80
10702,10.702,1,angle_n20_esc1500,run,1651,1500,-11190,2,82
10722,10.722,1,angle_n20_esc1500,run,1651,1500,-11183,7,89
10742,10.742,1,angle_n20_esc1500,run,1651,1500,-11182,1,90
10762,10.762,1,angle_n20_esc1500,run,1651,1500,-11169,13,103
10782,10.782,1,angle_n20_esc1500,run,1651,1500,-11165,4,107
10802,10.802,1,angle_n20_esc1500,run,1651,1500,-11149,16,123
10822,10.822,1,angle_n20_esc1500,run,1651,1500,-11142,7,130
10842,10.842,1,angle_n20_esc1500,run,1651,1500,-11125,17,147
10862,10.862,1,angle_n20_esc1500,run,1651,1500,-11115,10,157
10882,10.882,1,angle_n20_esc1500,run,1651,1500,-11108,7,164
10902,10.902,1,angle_n20_esc1500,run,1651,1500,-11105,3,167
10922,10.922,1,angle_n20_esc1500,run,1651,1500,-11102,3,170
10942,10.942,1,angle_n20_esc1500,run,1651,1500,-11096,6,176
10962,10.962,1,angle_n20_esc1500,run,1651,1500,-11086,10,186
10982,10.982,1,angle_n20_esc1500,run,1651,1500,-11078,8,194
11002,11.002,1,angle_n20_esc1500,run,1651,1500,-11067,11,205
11022,11.022,1,angle_n20_esc1500,run,1651,1500,-11061,6,211
11042,11.042,1,angle_n20_esc1500,run,1651,1500,-11057,4,215
11062,11.062,1,angle_n20_esc1500,run,1651,1500,-11050,7,222
11082,11.082,1,angle_n20_esc1500,run,1651,1500,-11048,2,224
11102,11.102,1,angle_n20_esc1500,run,1651,1500,-11035,13,237
11122,11.122,1,angle_n20_esc1500,run,1651,1500,-11027,8,245
11142,11.142,1,angle_n20_esc1500,run,1651,1500,-11016,11,256
11162,11.162,1,angle_n20_esc1500,run,1651,1500,-11010,6,262
11182,11.182,1,angle_n20_esc1500,run,1651,1500,-11007,3,265
11202,11.202,1,angle_n20_esc1500,run,1651,1500,-11004,3,268
11222,11.222,1,angle_n20_esc1500,run,1651,1500,-10992,12,280
11242,11.242,1,angle_n20_esc1500,run,1651,1500,-10987,5,285
11262,11.262,1,angle_n20_esc1500,run,1651,1500,-10977,10,295
11282,11.282,1,angle_n20_esc1500,run,1651,1500,-10975,2,297
11302,11.302,1,angle_n20_esc1500,run,1651,1500,-10972,3,300
11322,11.322,1,angle_n20_esc1500,run,1651,1500,-10971,1,301
11342,11.342,1,angle_n20_esc1500,run,1651,1500,-10970,1,302
