t_ms,t_s,set_index,segment,phase,servo_us,esc_pwm_us,count,count_delta,count_from_start
10005,10.005,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10025,10.025,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10045,10.045,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10065,10.065,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10085,10.085,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10105,10.105,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10125,10.125,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10165,10.165,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10185,10.185,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10205,10.205,1,angle_p20_esc1450,user_wait,1211,1000,8444,0,0
10226,10.226,1,angle_p20_esc1450,run,1211,1450,8444,0,0
10246,10.246,1,angle_p20_esc1450,run,1211,1450,8444,0,0
10266,10.266,1,angle_p20_esc1450,run,1211,1450,8444,0,0
10286,10.286,1,angle_p20_esc1450,run,1211,1450,8444,0,0
10306,10.306,1,angle_p20_esc1450,run,1211,1450,8444,0,0
10326,10.326,1,angle_p20_esc1450,run,1211,1450,8444,0,0
10346,10.346,1,angle_p20_esc1450,run,1211,1450,8444,0,0
10366,10.366,1,angle_p20_esc1450,run,1211,1450,8444,0,0
10386,10.386,1,angle_p20_esc1450,run,1211,1450,8442,-2,-2
10406,10.406,1,angle_p20_esc1450,run,1211,1450,8442,0,-2
10426,10.426,1,angle_p20_esc1450,run,1211,1450,8442,0,-2
10446,10.446,1,angle_p20_esc1450,run,1211,1450,8435,-7,-9
10466,10.466,1,angle_p20_esc1450,run,1211,1450,8433,-2,-11
10486,10.486,1,angle_p20_esc1450,run,1211,1450,8423,-10,-21
10506,10.506,1,angle_p20_esc1450,run,1211,1450,8413,-10,-31
10526,10.526,1,angle_p20_esc1450,run,1211,1450,8396,-17,-48
10546,10.546,1,angle_p20_esc1450,run,1211,1450,8377,-19,-67
10566,10.566,1,angle_p20_esc1450,run,1211,1450,8358,-19,-86
10586,10.586,1,angle_p20_esc1450,run,1211,1450,8339,-19,-105
10606,10.606,1,angle_p20_esc1450,run,1211,1450,8325,-14,-119
10626,10.626,1,angle_p20_esc1450,run,1211,1450,8310,-15,-134
10646,10.646,1,angle_p20_esc1450,run,1211,1450,8290,-20,-154
10666,10.666,1,angle_p20_esc1450,run,1211,1450,8271,-19,-173
10686,10.686,1,angle_p20_esc1450,run,1211,1450,8256,-15,-188
10706,10.706,1,angle_p20_esc1450,run,1211,1450,8234,-22,-210
10726,10.726,1,angle_p20_esc1450,run,1211,1450,8217,-17,-227
10746,10.746,1,angle_p20_esc1450,run,1211,1450,8202,-15,-242
10766,10.766,1,angle_p20_esc1450,run,1211,1450,8183,-19,-261
10786,10.786,1,angle_p20_esc1450,run,1211,1450,8170,-13,-274
10806,10.806,1,angle_p20_esc1450,run,1211,1450,8151,-19,-293
10826,10.826,1,angle_p20_esc1450,run,1211,1450,8136,-15,-308
10846,10.846,1,angle_p20_esc1450,run,1211,1450,8122,-14,-322
10866,10.866,1,angle_p20_esc1450,run,1211,1450,8107,-15,-337
10886,10.886,1,angle_p20_esc1450,run,1211,1450,8096,-11,-348
10906,10.906,1,angle_p20_esc1450,run,1211,1450,8082,-14,-362
10926,10.926,1,angle_p20_esc1450,run,1211,1450,8072,-10,-372
10946,10.946,1,angle_p20_esc1450,run,1211,1450,8059,-13,-385
10966,10.966,1,angle_p20_esc1450,run,1211,1450,8050,-9,-394
10986,10.986,1,angle_p20_esc1450,run,1211,1450,8036,-14,-408
11006,11.006,1,angle_p20_esc1450,run,1211,1450,8025,-11,-419
11026,11.026,1,angle_p20_esc1450,run,1211,1450,8009,-16,-435
11046,11.046,1,angle_p20_esc1450,run,1211,1450,7996,-13,-448
11066,11.066,1,angle_p20_esc1450,run,1211,1450,7980,-16,-464
11086,11.086,1,angle_p20_esc1450,run,1211,1450,7958,-22,-486
11106,11.106,1,angle_p20_esc1450,run,1211,1450,7942,-16,-502
11126,11.126,1,angle_p20_esc1450,run,1211,1450,7917,-25,-527
11146,11.146,1,angle_p20_esc1450,run,1211,1450,7900,-17,-544
11166,11.166,1,angle_p20_esc1450,run,1211,1450,7880,-20,-564
11186,11.186,1,angle_p20_esc1450,run,1211,1450,7862,-18,-582
