t_ms,t_s,sweep_index,run_name,segment,pwm_us,raw_count,tared_count,force_N,battery_voltage_V,battery_current_A,battery_remaining_pct,battery_age_ms,mavlink_total_packets,mavlink_sys_status_packets,mavlink_bad_frames,phase,step_index,direction
15,0.015,1,global_1000_2000,baseline_pre,1000,-122406.000,80.250,0.001896,11.97,,-1,23,27,3,1,baseline_pre,-1,none
37,0.037,1,global_1000_2000,baseline_pre,1000,-122355.000,131.250,0.003101,11.97,,-1,45,27,3,1,baseline_pre,-1,none
60,0.060,1,global_1000_2000,baseline_pre,1000,-122259.000,227.250,0.005370,11.97,,-1,68,27,3,1,baseline_pre,-1,none
106,0.106,1,global_1000_2000,baseline_pre,1000,-122490.000,-3.750,-0.000089,11.97,,-1,114,27,3,1,baseline_pre,-1,none
129,0.129,1,global_1000_2000,baseline_pre,1000,-122491.000,-4.750,-0.000112,11.97,,-1,137,27,3,1,baseline_pre,-1,none
152,0.152,1,global_1000_2000,baseline_pre,1000,-122318.000,168.250,0.003976,11.97,,-1,160,27,3,1,baseline_pre,-1,none
164,0.164,1,global_1000_2000,baseline_pre,1000,-122415.000,71.250,0.001684,11.97,,-1,172,27,3,1,baseline_pre,-1,none
187,0.187,1,global_1000_2000,baseline_pre,1000,-122522.000,-35.750,-0.000845,11.97,,-1,195,27,3,1,baseline_pre,-1,none
210,0.210,1,global_1000_2000,baseline_pre,1000,-122474.000,12.250,0.000289,11.97,,-1,218,27,3,1,baseline_pre,-1,none
222,0.222,1,global_1000_2000,baseline_pre,1000,-122569.000,-82.750,-0.001955,11.97,,-1,230,27,3,1,baseline_pre,-1,none
245,0.245,1,global_1000_2000,baseline_pre,1000,-122531.000,-44.750,-0.001057,11.97,,-1,253,28,3,1,baseline_pre,-1,none
268,0.268,1,global_1000_2000,baseline_pre,1000,-122520.000,-33.750,-0.000798,11.97,,-1,276,28,3,1,baseline_pre,-1,none
291,0.291,1,global_1000_2000,baseline_pre,1000,-122533.000,-46.750,-0.001105,11.97,,-1,299,28,3,1,baseline_pre,-1,none
302,0.302,1,global_1000_2000,baseline_pre,1000,-122755.000,-268.750,-0.006351,11.97,,-1,310,28,3,1,baseline_pre,-1,none
325,0.325,1,global_1000_2000,baseline_pre,1000,-122429.000,57.250,0.001353,11.97,,-1,333,28,3,1,baseline_pre,-1,none
348,0.348,1,global_1000_2000,baseline_pre,1000,-122452.000,34.250,0.000809,11.97,,-1,356,28,3,1,baseline_pre,-1,none
371,0.371,1,global_1000_2000,baseline_pre,1000,-122366.000,120.250,0.002842,11.97,,-1,379,28,3,1,baseline_pre,-1,none
383,0.383,1,global_1000_2000,baseline_pre,1000,-122397.000,89.250,0.002109,11.97,,-1,391,28,3,1,baseline_pre,-1,none
406,0.406,1,global_1000_2000,baseline_pre,1000,-122404.000,82.250,0.001944,11.97,,-1,414,28,3,1,baseline_pre,-1,none
429,0.429,1,global_1000_2000,baseline_pre,1000,-122318.000,168.250,0.003976,11.97,,-1,437,28,3,1,baseline_pre,-1,none
452,0.452,1,global_1000_2000,baseline_pre,1000,-122561.000,-74.750,-0.001766,11.97,,-1,460,28,3,1,baseline_pre,-1,none
464,0.464,1,global_1000_2000,baseline_pre,1000,-122507.000,-20.750,-0.000490,11.97,,-1,472,28,3,1,baseline_pre,-1,none
489,0.489,1,global_1000_2000,baseline_pre,1000,-122391.000,95.250,0.002251,11.977,,-1,8,33,4,1,baseline_pre,-1,none
510,0.510,1,global_1000_2000,baseline_pre,1000,-122448.000,38.250,0.000904,11.977,,-1,30,34,4,1,baseline_pre,-1,none
533,0.533,1,global_1000_2000,baseline_pre,1000,-122476.000,10.250,0.000242,11.977,,-1,53,34,4,1,baseline_pre,-1,none
544,0.544,1,global_1000_2000,baseline_pre,1000,-122590.000,-103.750,-0.002452,11.977,,-1,64,34,4,1,baseline_pre,-1,none
567,0.567,1,global_1000_2000,baseline_pre,1000,-122421.000,65.250,0.001542,11.977,,-1,87,34,4,1,baseline_pre,-1,none
590,0.590,1,global_1000_2000,baseline_pre,1000,-122641.000,-154.750,-0.003657,11.977,,-1,110,34,4,1,baseline_pre,-1,none
613,0.613,1,global_1000_2000,baseline_pre,1000,-122400.000,86.250,0.002038,11.977,,-1,133,34,4,1,baseline_pre,-1,none
625,0.625,1,global_1000_2000,baseline_pre,1000,-122459.000,27.250,0.000644,11.977,,-1,145,34,4,1,baseline_pre,-1,none
648,0.648,1,global_1000_2000,baseline_pre,1000,-122455.000,31.250,0.000738,11.977,,-1,168,34,4,1,baseline_pre,-1,none
671,0.671,1,global_1000_2000,baseline_pre,1000,-122336.000,150.250,0.003550,11.977,,-1,191,34,4,1,baseline_pre,-1,none
683,0.683,1,global_1000_2000,baseline_pre,1000,-122507.000,-20.750,-0.000490,11.977,,-1,203,34,4,1,baseline_pre,-1,none
740,0.740,1,global_1000_2000,baseline_pre,1000,-122481.000,5.250,0.000124,11.977,,-1,260,34,4,1,baseline_pre,-1,none
752,0.752,1,global_1000_2000,baseline_pre,1000,-122412.000,74.250,0.001755,11.977,,-1,272,34,4,1,baseline_pre,-1,none
775,0.775,1,global_1000_2000,baseline_pre,1000,-122625.000,-138.750,-0.003279,11.977,,-1,295,34,4,1,baseline_pre,-1,none
798,0.798,1,global_1000_2000,baseline_pre,1000,-122430.000,56.250,0.001329,11.977,,-1,318,34,4,1,baseline_pre,-1,none
809,0.809,1,global_1000_2000,baseline_pre,1000,-122588.000,-101.750,-0.002404,11.977,,-1,329,34,4,1,baseline_pre,-1,none
832,0.832,1,global_1000_2000,baseline_pre,1000,-122581.000,-94.750,-0.002239,11.977,,-1,352,34,4,1,baseline_pre,-1,none
855,0.855,1,global_1000_2000,baseline_pre,1000,-122509.000,-22.750,-0.000538,11.977,,-1,375,34,4,1,baseline_pre,-1,none
878,0.878,1,global_1000_2000,baseline_pre,1000,-122625.000,-138.750,-0.003279,11.977,,-1,398,34,4,1,baseline_pre,-1,none
890,0.890,1,global_1000_2000,baseline_pre,1000,-122677.000,-190.750,-0.004507,11.977,,-1,410,34,4,1,baseline_pre,-1,none
913,0.913,1,global_1000_2000,baseline_pre,1000,-122518.000,-31.750,-0.000750,11.977,,-1,433,34,4,1,baseline_pre,-1,none
936,0.936,1,global_1000_2000,baseline_pre,1000,-122494.000,-7.750,-0.000183,11.977,,-1,456,34,4,1,baseline_pre,-1,none
960,0.960,1,global_1000_2000,baseline_pre,1000,-122335.000,151.250,0.003574,11.977,,-1,479,34,4,1,baseline_pre,-1,none
972,0.972,1,global_1000_2000,baseline_pre,1000,-122405.000,81.250,0.001920,11.977,,-1,492,36,4,1,baseline_pre,-1,none
996,0.996,1,global_1000_2000,baseline_pre,1000,-122459.000,27.250,0.000644,12.012,,-1,1,41,5,1,baseline_pre,-1,none
1018,1.018,1,global_1000_2000,baseline_pre,1000,-122504.000,-17.750,-0.000419,12.012,,-1,23,45,5,1,baseline_pre,-1,none
1040,1.040,1,global_1000_2000,baseline_pre,1000,-122489.000,-2.750,-0.000065,12.012,,-1,45,45,5,1,baseline_pre,-1,none
1051,1.051,1,global_1000_2000,baseline_pre,1000,-122641.000,-154.750,-0.003657,12.012,,-1,56,45,5,1,baseline_pre,-1,none
1074,1.074,1,global_1000_2000,baseline_pre,1000,-122464.000,22.250,0.000526,12.012,,-1,79,45,5,1,baseline_pre,-1,none
1097,1.097,1,global_1000_2000,baseline_pre,1000,-122520.000,-33.750,-0.000798,12.012,,-1,102,45,5,1,baseline_pre,-1,none
1120,1.120,1,global_1000_2000,baseline_pre,1000,-122423.000,63.250,0.001495,12.012,,-1,125,45,5,1,baseline_pre,-1,none
1132,1.132,1,global_1000_2000,baseline_pre,1000,-122340.000,146.250,0.003456,12.012,,-1,137,45,5,1,baseline_pre,-1,none
1155,1.155,1,global_1000_2000,baseline_pre,1000,-122498.000,-11.750,-0.000278,12.012,,-1,160,45,5,1,baseline_pre,-1,none
1178,1.178,1,global_1000_2000,baseline_pre,1000,-122456.000,30.250,0.000715,12.012,,-1,183,45,5,1,baseline_pre,-1,none
1201,1.201,1,global_1000_2000,baseline_pre,1000,-122484.000,2.250,0.000053,12.012,,-1,206,45,5,1,baseline_pre,-1,none
1213,1.213,1,global_1000_2000,baseline_pre,1000,-122377.000,109.250,0.002582,12.012,,-1,218,45,5,1,baseline_pre,-1,none
1236,1.236,1,global_1000_2000,baseline_pre,1000,-122478.000,8.250,0.000195,12.012,,-1,241,45,5,1,baseline_pre,-1,none
