t_ms,t_s,set_index,segment,phase,servo_us,esc_pwm_us,count,count_delta,count_from_start
10005,10.005,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10025,10.025,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10045,10.045,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10065,10.065,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10085,10.085,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10105,10.105,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10125,10.125,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10160,10.160,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10180,10.180,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10200,10.200,1,angle_p20_esc1850,user_wait,1211,1000,8997,0,0
10222,10.222,1,angle_p20_esc1850,run,1211,1850,8997,0,0
10242,10.242,1,angle_p20_esc1850,run,1211,1850,8997,0,0
10262,10.262,1,angle_p20_esc1850,run,1211,1850,8997,0,0
10282,10.282,1,angle_p20_esc1850,run,1211,1850,8997,0,0
10302,10.302,1,angle_p20_esc1850,run,1211,1850,8997,0,0
10322,10.322,1,angle_p20_esc1850,run,1211,1850,8997,0,0
10342,10.342,1,angle_p20_esc1850,run,1211,1850,8997,0,0
10362,10.362,1,angle_p20_esc1850,run,1211,1850,8997,0,0
10382,10.382,1,angle_p20_esc1850,run,1211,1850,8997,0,0
10402,10.402,1,angle_p20_esc1850,run,1211,1850,8996,-1,-1
10422,10.422,1,angle_p20_esc1850,run,1211,1850,8996,0,-1
10442,10.442,1,angle_p20_esc1850,run,1211,1850,8996,0,-1
10462,10.462,1,angle_p20_esc1850,run,1211,1850,8996,0,-1
10482,10.482,1,angle_p20_esc1850,run,1211,1850,8994,-2,-3
10502,10.502,1,angle_p20_esc1850,run,1211,1850,8995,1,-2
10522,10.522,1,angle_p20_esc1850,run,1211,1850,8998,3,1
10542,10.542,1,angle_p20_esc1850,run,1211,1850,8992,-6,-5
10562,10.562,1,angle_p20_esc1850,run,1211,1850,8985,-7,-12
10582,10.582,1,angle_p20_esc1850,run,1211,1850,8993,8,-4
10602,10.602,1,angle_p20_esc1850,run,1211,1850,8992,-1,-5
10622,10.622,1,angle_p20_esc1850,run,1211,1850,8986,-6,-11
10642,10.642,1,angle_p20_esc1850,run,1211,1850,8986,0,-11
10662,10.662,1,angle_p20_esc1850,run,1211,1850,8993,7,-4
10682,10.682,1,angle_p20_esc1850,run,1211,1850,8988,-5,-9
10702,10.702,1,angle_p20_esc1850,run,1211,1850,8983,-5,-14
10722,10.722,1,angle_p20_esc1850,run,1211,1850,8985,2,-12
10742,10.742,1,angle_p20_esc1850,run,1211,1850,8984,-1,-13
10762,10.762,1,angle_p20_esc1850,run,1211,1850,8989,5,-8
10782,10.782,1,angle_p20_esc1850,run,1211,1850,8992,3,-5
10802,10.802,1,angle_p20_esc1850,run,1211,1850,8983,-9,-14
10822,10.822,1,angle_p20_esc1850,run,1211,1850,8980,-3,-17
10842,10.842,1,angle_p20_esc1850,run,1211,1850,8982,2,-15
10862,10.862,1,angle_p20_esc1850,run,1211,1850,8980,-2,-17
10882,10.882,1,angle_p20_esc1850,run,1211,1850,8982,2,-15
10902,10.902,1,angle_p20_esc1850,run,1211,1850,8984,2,-13
10922,10.922,1,angle_p20_esc1850,run,1211,1850,8984,0,-13
10942,10.942,1,angle_p20_esc1850,run,1211,1850,8983,-1,-14
10962,10.962,1,angle_p20_esc1850,run,1211,1850,8983,0,-14
10982,10.982,1,angle_p20_esc1850,run,1211,1850,8976,-7,-21
11002,11.002,1,angle_p20_esc1850,run,1211,1850,8972,-4,-25
11022,11.022,1,angle_p20_esc1850,run,1211,1850,8963,-9,-34
11042,11.042,1,angle_p20_esc1850,run,1211,1850,8936,-27,-61
11062,11.062,1,angle_p20_esc1850,run,1211,1850,8903,-33,-94
11082,11.082,1,angle_p20_esc1850,run,1211,1850,8857,-46,-140
11102,11.102,1,angle_p20_esc1850,run,1211,1850,8794,-63,-203
11122,11.122,1,angle_p20_esc1850,run,1211,1850,8715,-79,-282
11142,11.142,1,angle_p20_esc1850,run,1211,1850,8626,-89,-371
11162,11.162,1,angle_p20_esc1850,run,1211,1850,8517,-109,-480
11182,11.182,1,angle_p20_esc1850,run,1211,1850,8395,-122,-602
11202,11.202,1,angle_p20_esc1850,run,1211,1850,8260,-135,-737
11222,11.222,1,angle_p20_esc1850,run,1211,1850,8101,-159,-896
11242,11.242,1,angle_p20_esc1850,run,1211,1850,7931,-170,-1066
11262,11.262,1,angle_p20_esc1850,run,1211,1850,7741,-190,-1256
11282,11.282,1,angle_p20_esc1850,run,1211,1850,7527,-214,-1470
11302,11.302,1,angle_p20_esc1850,run,1211,1850,7292,-235,-1705
11322,11.322,1,angle_p20_esc1850,run,1211,1850,7050,-242,-1947
11342,11.342,1,angle_p20_esc1850,run,1211,1850,6799,-251,-2198
11362,11.362,1,angle_p20_esc1850,run,1211,1850,6548,-251,-2449
11396,11.396,1,angle_p20_esc1850,run,1211,1850,6135,-413,-2862
11415,11.415,1,angle_p20_esc1850,run,1211,1850,5876,-259,-3121
11435,11.435,1,angle_p20_esc1850,run,1211,1850,5602,-274,-3395
11455,11.455,1,angle_p20_esc1850,run,1211,1850,5319,-283,-3678
11475,11.475,1,angle_p20_esc1850,run,1211,1850,5024,-295,-3973
11495,11.495,1,angle_p20_esc1850,run,1211,1850,4735,-289,-4262
11515,11.515,1,angle_p20_esc1850,run,1211,1850,4443,-292,-4554
11535,11.535,1,angle_p20_esc1850,run,1211,1850,4154,-289,-4843
11555,11.555,1,angle_p20_esc1850,run,1211,1850,3876,-278,-5121
11575,11.575,1,angle_p20_esc1850,run,1211,1850,3596,-280,-5401
11595,11.595,1,angle_p20_esc1850,run,1211,1850,3306,-290,-5691
11615,11.615,1,angle_p20_esc1850,run,1211,1850,3011,-295,-5986
11635,11.635,1,angle_p20_esc1850,run,1211,1850,2716,-295,-6281
11655,11.655,1,angle_p20_esc1850,run,1211,1850,2412,-304,-6585
11675,11.675,1,angle_p20_esc1850,run,1211,1850,2121,-291,-6876
11695,11.695,1,angle_p20_esc1850,run,1211,1850,1840,-281,-7157
11715,11.715,1,angle_p20_esc1850,run,1211,1850,1567,-273,-7430
11736,11.736,1,angle_p20_esc1850,run,1211,1850,1298,-269,-7699
11756,11.756,1,angle_p20_esc1850,run,1211,1850,1040,-258,-7957
11776,11.776,1,angle_p20_esc1850,run,1211,1850,779,-261,-8218
11796,11.796,1,angle_p20_esc1850,run,1211,1850,516,-263,-8481
11816,11.816,1,angle_p20_esc1850,run,1211,1850,253,-263,-8744
11836,11.836,1,angle_p20_esc1850,run,1211,1850,-14,-267,-9011
11856,11.856,1,angle_p20_esc1850,run,1211,1850,-267,-253,-9264
11876,11.876,1,angle_p20_esc1850,run,1211,1850,-517,-250,-9514
11896,11.896,1,angle_p20_esc1850,run,1211,1850,-752,-235,-9749
11916,11.916,1,angle_p20_esc1850,run,1211,1850,-979,-227,-9976
11936,11.936,1,angle_p20_esc1850,run,1211,1850,-1211,-232,-10208
11956,11.956,1,angle_p20_esc1850,run,1211,1850,-1453,-242,-10450
11976,11.976,1,angle_p20_esc1850,run,1211,1850,-1696,-243,-10693
11996,11.996,1,angle_p20_esc1850,run,1211,1850,-1943,-247,-10940
12016,12.016,1,angle_p20_esc1850,run,1211,1850,-2194,-251,-11191
12036,12.036,1,angle_p20_esc1850,run,1211,1850,-2435,-241,-11432
12057,12.057,1,angle_p20_esc1850,run,1211,1850,-2698,-263,-11695
12077,12.077,1,angle_p20_esc1850,run,1211,1850,-2928,-230,-11925
12097,12.097,1,angle_p20_esc1850,run,1211,1850,-3149,-221,-12146
12117,12.117,1,angle_p20_esc1850,run,1211,1850,-3371,-222,-12368
12137,12.137,1,angle_p20_esc1850,run,1211,1850,-3592,-221,-12589
12157,12.157,1,angle_p20_esc1850,run,1211,1850,-3821,-229,-12818
12177,12.177,1,angle_p20_esc1850,run,1211,1850,-4069,-248,-13066
12197,12.197,1,angle_p20_esc1850,run,1211,1850,-4320,-251,-13317
12217,12.217,1,angle_p20_esc1850,run,1211,1850,-4570,-250,-13567
12237,12.237,1,angle_p20_esc1850,run,1211,1850,-4830,-260,-13827
12257,12.257,1,angle_p20_esc1850,run,1211,1850,-5083,-253,-14080
12277,12.277,1,angle_p20_esc1850,run,1211,1850,-5332,-249,-14329
12297,12.297,1,angle_p20_esc1850,run,1211,1850,-5578,-246,-14575
12317,12.317,1,angle_p20_esc1850,run,1211,1850,-5821,-243,-14818
12337,12.337,1,angle_p20_esc1850,run,1211,1850,-6064,-243,-15061
12357,12.357,1,angle_p20_esc1850,run,1211,1850,-6318,-254,-15315
12378,12.378,1,angle_p20_esc1850,run,1211,1850,-6591,-273,-15588
12398,12.398,1,angle_p20_esc1850,run,1211,1850,-6856,-265,-15853
12418,12.418,1,angle_p20_esc1850,run,1211,1850,-7126,-270,-16123
12438,12.438,1,angle_p20_esc1850,run,1211,1850,-7383,-257,-16380
12458,12.458,1,angle_p20_esc1850,run,1211,1850,-7636,-253,-16633
12478,12.478,1,angle_p20_esc1850,run,1211,1850,-7881,-245,-16878
12498,12.498,1,angle_p20_esc1850,run,1211,1850,-8110,-229,-17107
12518,12.518,1,angle_p20_esc1850,run,1211,1850,-8337,-227,-17334
12538,12.538,1,angle_p20_esc1850,run,1211,1850,-8573,-236,-17570
12558,12.558,1,angle_p20_esc1850,run,1211,1850,-8807,-234,-17804
12578,12.578,1,angle_p20_esc1850,run,1211,1850,-9040,-233,-18037
12598,12.598,1,angle_p20_esc1850,run,1211,1850,-9281,-241,-18278
12618,12.618,1,angle_p20_esc1850,run,1211,1850,-9513,-232,-18510
12638,12.638,1,angle_p20_esc1850,run,1211,1850,-9739,-226,-18736
12658,12.658,1,angle_p20_esc1850,run,1211,1850,-9963,-224,-18960
12691,12.691,1,angle_p20_esc1850,run,1211,1850,-10304,-341,-19301
12711,12.711,1,angle_p20_esc1850,run,1211,1850,-10499,-195,-19496
12731,12.731,1,angle_p20_esc1850,run,1211,1850,-10690,-191,-19687
12751,12.751,1,angle_p20_esc1850,run,1211,1850,-10877,-187,-19874
12771,12.771,1,angle_p20_esc1850,run,1211,1850,-11082,-205,-20079
12791,12.791,1,angle_p20_esc1850,run,1211,1850,-11296,-214,-20293
12811,12.811,1,angle_p20_esc1850,run,1211,1850,-11512,-216,-20509
12831,12.831,1,angle_p20_esc1850,run,1211,1850,-11550,-38,-20547
12851,12.851,1,angle_p20_esc1850,run,1211,1850,-11526,24,-20523
12871,12.871,1,angle_p20_esc1850,run,1211,1850,-11516,10,-20513
12891,12.891,1,angle_p20_esc1850,run,1211,1850,-11543,-27,-20540
12911,12.911,1,angle_p20_esc1850,run,1211,1850,-11536,7,-20533
12931,12.931,1,angle_p20_esc1850,run,1211,1850,-11529,7,-20526
12951,12.951,1,angle_p20_esc1850,run,1211,1850,-11536,-7,-20533
12971,12.971,1,angle_p20_esc1850,run,1211,1850,-11537,-1,-20534
12991,12.991,1,angle_p20_esc1850,run,1211,1850,-11538,-1,-20535
