bootstrap_index,mean_thrust_N,std_thrust_N,min_sampled_thrust_N,max_sampled_thrust_N,mean_voltage_V,std_voltage_V,sampled_unit_ids
338,2.94510688333333,0.0532764567792113,2.9102753,3.051483675,10.8628208333333,0.156730763107204,validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post
339,3.03441658333333,0.136713818743413,2.9102753,3.238860475,11.0651916666667,0.260592266129807,train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre
340,3.04192553333333,0.128797504110209,2.932601575,3.238860475,11.0473708333333,0.292534726749095,train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_post
341,3.04862459166667,0.120183692596316,2.9102753,3.238860475,11.059275,0.288141274377693,train_seed2002_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_post
342,3.0069081625,0.0920459454283441,2.9102753,3.10704285,10.9812541666667,0.235016737391549,train_seed2001_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post
343,3.01244697916667,0.10395636575383,2.9102753,3.10704285,11.0257458333333,0.202937379144821,train_seed2001_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre
344,3.14387811666667,0.121997045852038,2.932601575,3.238860475,11.2326375,0.313230844087074,train_seed2001_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_pre
345,3.10892760416667,0.123721258796822,2.9102753,3.238860475,11.2084583333333,0.233651058560983,train_seed2001_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre
346,3.0591784125,0.104589307710891,2.9102753,3.238860475,11.125175,0.198709324768619,train_seed2002_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_pre
347,3.0579513125,0.122482870398808,2.9102753,3.238860475,11.115825,0.230750793064728,train_seed2001_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post
348,3.0266549875,0.0854957547321221,2.9102753,3.10704285,11.0198291666667,0.236094290176971,train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_post
349,3.01069606666667,0.0876359453857333,2.932601575,3.10704285,10.9933125,0.226669946590855,train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_post
350,3.067211175,0.123987052633592,2.9102753,3.238860475,11.1304375,0.233954844334331,train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_post
351,2.97411357083333,0.0839289263218698,2.9102753,3.10704285,10.9160083333333,0.21223974337213,train_seed2002_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_post
352,3.03807077083333,0.132973670787458,2.9102753,3.238860475,10.993375,0.340797077819048,validation_seed2003_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_pre
353,3.00318711666667,0.0960162948936007,2.9102753,3.10704285,11.0111333333333,0.189797530059451,train_seed2002_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_post
354,3.01589685833333,0.127615737202449,2.9102753,3.238860475,11.0359666666667,0.244625519246597,train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre
355,2.97783461666667,0.0809755114219397,2.9102753,3.10704285,10.8861291666667,0.239654040971914,train_seed2001_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_post
356,2.996083175,0.130188380687628,2.9102753,3.238860475,10.9554541666667,0.28663444856501,validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre
