metric,n_valid,mean_value,std_value,p2p5,p50,p97p5,min_value,max_value
observed_unit_thrust_N,6,3.02887776666667,0.129028073642075,2.913066084375,2.9922432,3.222383271875,2.9102753,3.238860475
bootstrap_mean_thrust_N,500,3.02769939129167,0.0482044551011789,2.94510688333333,3.02881090833333,3.128298028125,2.91399634583333,3.20763100833333
observed_unit_voltage_V,6,11.0207,0.293546661111996,10.661084375,11.006025,11.416515625,10.638675,11.4461
bootstrap_mean_voltage_V,500,11.0180543583333,0.110660955944989,10.8159096875,11.0207,11.24535,10.7403708333333,11.3920416666667
