t_ms,t_s,set_index,prbs_seed,run_order_seed,run_name,segment,pwm_us,raw_count,tared_count,force_N,battery_voltage_V,battery_current_A,battery_remaining_pct,battery_age_ms,mavlink_total_packets,mavlink_sys_status_packets,mavlink_bad_frames,phase
57,0.057,2,1002,51002,global_1100_1950,baseline_pre,1525,-120088.000,-7.828,-0.000185,11.607,,-1,190212,3681,311,20,baseline_pre
149,0.149,2,1002,51002,global_1100_1950,baseline_pre,1525,-120145.000,-64.828,-0.001532,11.607,,-1,190304,3681,311,20,baseline_pre
243,0.243,2,1002,51002,global_1100_1950,baseline_pre,1525,-119069.000,1011.172,0.023894,11.607,,-1,190397,3682,311,20,baseline_pre
333,0.333,2,1002,51002,global_1100_1950,baseline_pre,1525,-110325.000,9755.172,0.230515,11.607,,-1,190488,3685,311,20,baseline_pre
425,0.425,2,1002,51002,global_1100_1950,baseline_pre,1525,-97193.000,22887.172,0.540824,11.607,,-1,190580,3685,311,20,baseline_pre
517,0.517,2,1002,51002,global_1100_1950,baseline_pre,1525,-81146.000,38934.170,0.920016,11.607,,-1,190672,3685,311,20,baseline_pre
609,0.609,2,1002,51002,global_1100_1950,baseline_pre,1525,-63671.000,56409.170,1.332950,11.607,,-1,190764,3685,311,20,baseline_pre
702,0.702,2,1002,51002,global_1100_1950,baseline_pre,1525,-55061.000,65019.170,1.536405,11.607,,-1,190857,3686,311,21,baseline_pre
797,0.797,2,1002,51002,global_1100_1950,baseline_pre,1525,-51981.000,68099.170,1.609185,11.501,,-1,1,3694,312,21,baseline_pre
885,0.885,2,1002,51002,global_1100_1950,baseline_pre,1525,-51091.000,68989.170,1.630216,11.501,,-1,89,3696,312,21,baseline_pre
977,0.977,2,1002,51002,global_1100_1950,baseline_pre,1525,-50708.000,69372.170,1.639266,11.501,,-1,181,3696,312,21,baseline_pre
1069,1.069,2,1002,51002,global_1100_1950,baseline_pre,1525,-50669.000,69411.170,1.640188,11.501,,-1,273,3696,312,21,baseline_pre
1161,1.161,2,1002,51002,global_1100_1950,baseline_pre,1525,-50635.000,69445.170,1.640991,11.501,,-1,365,3696,312,21,baseline_pre
1255,1.255,2,1002,51002,global_1100_1950,baseline_pre,1525,-50760.000,69320.170,1.638038,11.501,,-1,459,3700,312,21,baseline_pre
1346,1.346,2,1002,51002,global_1100_1950,baseline_pre,1525,-50988.000,69092.170,1.632650,11.501,,-1,550,3702,312,21,baseline_pre
1437,1.437,2,1002,51002,global_1100_1950,baseline_pre,1525,-50901.000,69179.170,1.634706,11.501,,-1,641,3702,312,21,baseline_pre
1529,1.529,2,1002,51002,global_1100_1950,baseline_pre,1525,-50605.000,69475.170,1.641700,11.501,,-1,733,3702,312,21,baseline_pre
1621,1.621,2,1002,51002,global_1100_1950,baseline_pre,1525,-50631.000,69449.170,1.641086,11.501,,-1,825,3702,312,21,baseline_pre
1714,1.714,2,1002,51002,global_1100_1950,baseline_pre,1525,-50312.000,69768.170,1.648624,11.501,,-1,918,3703,312,21,baseline_pre
1810,1.810,2,1002,51002,global_1100_1950,baseline_pre,1525,-50472.000,69608.170,1.644843,11.499,,-1,1,3711,313,21,baseline_pre
1897,1.897,2,1002,51002,global_1100_1950,baseline_pre,1525,-50913.000,69167.170,1.634422,11.499,,-1,88,3713,313,21,baseline_pre
1989,1.989,2,1002,51002,global_1100_1950,baseline_pre,1525,-50821.000,69259.170,1.636596,11.499,,-1,180,3713,313,21,baseline_pre
2081,2.081,2,1002,51002,global_1100_1950,baseline_pre,1525,-50640.000,69440.170,1.640873,11.499,,-1,272,3713,313,21,baseline_pre
2173,2.173,2,1002,51002,global_1100_1950,baseline_pre,1525,-50923.000,69157.170,1.634186,11.499,,-1,364,3713,313,21,baseline_pre
2268,2.268,2,1002,51002,global_1100_1950,baseline_pre,1525,-51055.000,69025.170,1.631067,11.499,,-1,459,3719,313,21,baseline_pre
2357,2.357,2,1002,51002,global_1100_1950,baseline_pre,1525,-51216.000,68864.170,1.627262,11.499,,-1,548,3719,313,21,baseline_pre
2449,2.449,2,1002,51002,global_1100_1950,baseline_pre,1525,-51189.000,68891.170,1.627900,11.499,,-1,640,3719,313,21,baseline_pre
2541,2.541,2,1002,51002,global_1100_1950,baseline_pre,1525,-51208.000,68872.170,1.627451,11.499,,-1,732,3719,313,21,baseline_pre
2633,2.633,2,1002,51002,global_1100_1950,baseline_pre,1525,-51414.000,68666.170,1.622584,11.499,,-1,824,3719,313,21,baseline_pre
2726,2.726,2,1002,51002,global_1100_1950,baseline_pre,1525,-51418.000,68662.170,1.622489,11.499,,-1,917,3720,313,21,baseline_pre
2818,2.818,2,1002,51002,global_1100_1950,baseline_pre,1525,-51362.000,68718.170,1.623812,11.499,,-1,1009,3726,313,21,baseline_pre
2909,2.909,2,1002,51002,global_1100_1950,baseline_pre,1525,-51297.000,68783.170,1.625348,11.499,,-1,1100,3726,313,21,baseline_pre
3001,3.001,2,1002,51002,global_1100_1950,baseline_pre,1525,-51563.000,68517.170,1.619063,11.499,,-1,1192,3726,313,21,baseline_pre
3093,3.093,2,1002,51002,global_1100_1950,settle,1525,-51423.000,68657.170,1.622371,11.499,,-1,1284,3726,313,21,settle
3185,3.185,2,1002,51002,global_1100_1950,settle,1525,-51314.000,68766.170,1.624946,11.499,,-1,1376,3726,313,21,settle
3280,3.280,2,1002,51002,global_1100_1950,settle,1525,-51320.000,68760.170,1.624805,11.484,,-1,2,3732,314,21,settle
3369,3.369,2,1002,51002,global_1100_1950,settle,1525,-51503.000,68577.170,1.620480,11.484,,-1,91,3732,314,21,settle
3461,3.461,2,1002,51002,global_1100_1950,settle,1525,-51649.000,68431.170,1.617030,11.484,,-1,183,3732,314,21,settle
3553,3.553,2,1002,51002,global_1100_1950,settle,1525,-51660.000,68420.170,1.616770,11.484,,-1,275,3732,314,21,settle
3645,3.645,2,1002,51002,global_1100_1950,settle,1525,-51375.000,68705.170,1.623505,11.484,,-1,367,3732,314,21,settle
3739,3.739,2,1002,51002,global_1100_1950,settle,1525,-51515.000,68565.170,1.620197,11.484,,-1,460,3735,314,21,settle
3832,3.832,2,1002,51002,global_1100_1950,settle,1525,-51793.000,68287.170,1.613628,11.489,,-1,2,3744,315,21,settle
3921,3.921,2,1002,51002,global_1100_1950,settle,1525,-51858.000,68222.170,1.612092,11.489,,-1,91,3744,315,21,settle
