t_ms,t_s,set_index,prbs_seed,run_order_seed,run_name,segment,pwm_us,raw_count,tared_count,force_N,battery_voltage_V,battery_current_A,battery_remaining_pct,battery_age_ms,mavlink_total_packets,mavlink_sys_status_packets,mavlink_bad_frames,phase
57,0.057,3,1003,51003,local_1400_1650,baseline_pre,1525,-120645.000,68.422,0.001617,11.34,,-1,190212,7295,616,38,baseline_pre
149,0.149,3,1003,51003,local_1400_1650,baseline_pre,1525,-120702.000,11.422,0.000270,11.34,,-1,190303,7295,616,38,baseline_pre
241,0.241,3,1003,51003,local_1400_1650,baseline_pre,1525,-119950.000,763.422,0.018040,11.34,,-1,190396,7295,616,38,baseline_pre
334,0.334,3,1003,51003,local_1400_1650,baseline_pre,1525,-111853.000,8860.422,0.209372,11.34,,-1,190489,7296,616,39,baseline_pre
429,0.429,3,1003,51003,local_1400_1650,baseline_pre,1525,-93802.000,26911.422,0.635918,11.215,,-1,1,7304,617,40,baseline_pre
517,0.517,3,1003,51003,local_1400_1650,baseline_pre,1525,-72467.000,48246.420,1.140064,11.215,,-1,89,7306,617,40,baseline_pre
609,0.609,3,1003,51003,local_1400_1650,baseline_pre,1525,-60163.000,60550.420,1.430808,11.215,,-1,181,7306,617,40,baseline_pre
701,0.701,3,1003,51003,local_1400_1650,baseline_pre,1525,-56084.000,64629.420,1.527195,11.215,,-1,274,7306,617,40,baseline_pre
793,0.793,3,1003,51003,local_1400_1650,baseline_pre,1525,-54483.000,66230.420,1.565027,11.215,,-1,366,7306,617,40,baseline_pre
885,0.885,3,1003,51003,local_1400_1650,baseline_pre,1525,-53515.000,67198.420,1.587900,11.215,,-1,458,7306,617,40,baseline_pre
979,0.979,3,1003,51003,local_1400_1650,baseline_pre,1525,-53449.000,67264.420,1.589460,11.215,,-1,552,7312,617,40,baseline_pre
1068,1.068,3,1003,51003,local_1400_1650,baseline_pre,1525,-53732.000,66981.420,1.582773,11.215,,-1,641,7312,617,40,baseline_pre
1161,1.161,3,1003,51003,local_1400_1650,baseline_pre,1525,-53744.000,66969.420,1.582489,11.215,,-1,734,7312,617,40,baseline_pre
1253,1.253,3,1003,51003,local_1400_1650,baseline_pre,1525,-53658.000,67055.420,1.584521,11.215,,-1,826,7312,617,40,baseline_pre
1345,1.345,3,1003,51003,local_1400_1650,baseline_pre,1525,-53242.000,67471.420,1.594352,11.215,,-1,918,7313,617,40,baseline_pre
1441,1.441,3,1003,51003,local_1400_1650,baseline_pre,1525,-53070.000,67643.420,1.598416,11.318,,-1,1,7321,618,40,baseline_pre
1529,1.529,3,1003,51003,local_1400_1650,baseline_pre,1525,-52989.000,67724.420,1.600330,11.318,,-1,89,7323,618,40,baseline_pre
1621,1.621,3,1003,51003,local_1400_1650,baseline_pre,1525,-53026.000,67687.420,1.599456,11.318,,-1,180,7323,618,40,baseline_pre
1713,1.713,3,1003,51003,local_1400_1650,baseline_pre,1525,-53042.000,67671.420,1.599078,11.318,,-1,272,7323,618,40,baseline_pre
1805,1.805,3,1003,51003,local_1400_1650,baseline_pre,1525,-53005.000,67708.420,1.599952,11.318,,-1,365,7323,618,40,baseline_pre
1899,1.899,3,1003,51003,local_1400_1650,baseline_pre,1525,-52869.000,67844.420,1.603166,11.318,,-1,459,7326,618,40,baseline_pre
