t_ms,t_s,set_index,prbs_seed,run_order_seed,run_name,segment,pwm_us,raw_count,tared_count,force_N,battery_voltage_V,battery_current_A,battery_remaining_pct,battery_age_ms,mavlink_total_packets,mavlink_sys_status_packets,mavlink_bad_frames,phase
59,0.059,1,1001,51001,local_1400_1650,baseline_pre,1525,-120915.000,-30.438,-0.000719,11.898,,-1,63,29,3,1,baseline_pre
154,0.154,1,1001,51001,local_1400_1650,baseline_pre,1525,-120976.000,-91.438,-0.002161,11.878,,-1,1,37,4,1,baseline_pre
243,0.243,1,1001,51001,local_1400_1650,baseline_pre,1525,-119892.000,992.563,0.023454,11.878,,-1,89,39,4,1,baseline_pre
334,0.334,1,1001,51001,local_1400_1650,baseline_pre,1525,-110823.000,10061.562,0.237755,11.878,,-1,181,39,4,1,baseline_pre
426,0.426,1,1001,51001,local_1400_1650,baseline_pre,1525,-96728.000,24156.562,0.570820,11.878,,-1,273,39,4,1,baseline_pre
518,0.518,1,1001,51001,local_1400_1650,baseline_pre,1525,-78680.000,42204.564,0.997295,11.878,,-1,365,39,4,1,baseline_pre
613,0.613,1,1001,51001,local_1400_1650,baseline_pre,1525,-61269.000,59615.564,1.408717,11.878,,-1,460,44,4,1,baseline_pre
702,0.702,1,1001,51001,local_1400_1650,baseline_pre,1525,-54113.000,66771.560,1.577814,11.878,,-1,549,45,4,1,baseline_pre
794,0.794,1,1001,51001,local_1400_1650,baseline_pre,1525,-51911.000,68973.560,1.629847,11.878,,-1,641,45,4,1,baseline_pre
886,0.886,1,1001,51001,local_1400_1650,baseline_pre,1525,-51227.000,69657.560,1.646010,11.878,,-1,732,45,4,1,baseline_pre
978,0.978,1,1001,51001,local_1400_1650,baseline_pre,1525,-50933.000,69951.560,1.652957,11.878,,-1,825,46,4,1,baseline_pre
1070,1.070,1,1001,51001,local_1400_1650,baseline_pre,1525,-50697.000,70187.560,1.658534,11.878,,-1,917,47,4,1,baseline_pre
1166,1.166,1,1001,51001,local_1400_1650,baseline_pre,1525,-50447.000,70437.560,1.664442,11.706,,-1,1,55,5,1,baseline_pre
1254,1.254,1,1001,51001,local_1400_1650,baseline_pre,1525,-50635.000,70249.560,1.659999,11.706,,-1,89,57,5,1,baseline_pre
1346,1.346,1,1001,51001,local_1400_1650,baseline_pre,1525,-50548.000,70336.560,1.662055,11.706,,-1,181,57,5,1,baseline_pre
1438,1.438,1,1001,51001,local_1400_1650,baseline_pre,1525,-50349.000,70535.560,1.666757,11.706,,-1,273,57,5,1,baseline_pre
1530,1.530,1,1001,51001,local_1400_1650,baseline_pre,1525,-50411.000,70473.560,1.665292,11.706,,-1,365,57,5,1,baseline_pre
1624,1.624,1,1001,51001,local_1400_1650,baseline_pre,1525,-50483.000,70401.560,1.663591,11.706,,-1,459,63,5,1,baseline_pre
1714,1.714,1,1001,51001,local_1400_1650,baseline_pre,1525,-50588.000,70296.560,1.661110,11.706,,-1,549,63,5,1,baseline_pre
1806,1.806,1,1001,51001,local_1400_1650,baseline_pre,1525,-50522.000,70362.560,1.662669,11.706,,-1,641,63,5,1,baseline_pre
1898,1.898,1,1001,51001,local_1400_1650,baseline_pre,1525,-50520.000,70364.560,1.662716,11.706,,-1,732,63,5,1,baseline_pre
1990,1.990,1,1001,51001,local_1400_1650,baseline_pre,1525,-50899.000,69985.560,1.653761,11.706,,-1,825,63,5,1,baseline_pre
2083,2.083,1,1001,51001,local_1400_1650,baseline_pre,1525,-51331.000,69553.560,1.643553,11.706,,-1,918,64,5,1,baseline_pre
2178,2.178,1,1001,51001,local_1400_1650,baseline_pre,1525,-51339.000,69545.560,1.643364,11.7,,-1,2,75,6,1,baseline_pre
